"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","GeneName"
"VCL",4.52084744489093e-25,-0.412528442506974,0.173,0.358,1.32171495898831e-20,"VCL"
"SLC25A12",4.52754412151263e-25,0.315998296468107,0.313,0.149,1.32367279936543e-20,"SLC25A12"
"PDCD4",5.14230374086286e-25,0.276099780544767,0.372,0.189,1.50340392167867e-20,"PDCD4"
"IL32",9.64776462102969e-25,-0.289489289294039,0.05,0.206,2.82062046460424e-20,"IL32"
"CHPT1",1.01172755750818e-24,0.311011235677805,0.362,0.187,2.95788668713091e-20,"CHPT1"
"LMBRD1",1.22186317102918e-24,0.262757804326671,0.366,0.186,3.57223916682092e-20,"LMBRD1"
"IL1RAPL1",1.63421254984644e-24,-0.605807941442067,0.268,0.461,4.77778381073106e-20,"IL1RAPL1"
"COL3A1",1.69586624203742e-24,-0.898794756564433,0.625,0.706,4.95803454522061e-20,"COL3A1"
"PLSCR1",2.5313408434798e-24,-0.403290213065147,0.211,0.396,7.40062808999754e-20,"PLSCR1"
"SELENOM",2.86094885860711e-24,0.29484514291579,0.558,0.351,8.36427008302374e-20,"SELENOM"
"RPS27A",3.08584183454263e-24,0.338332580431928,0.692,0.492,9.02176718746884e-20,"RPS27A"
"EFCAB13",3.34793979601436e-24,0.267494054024493,0.288,0.131,9.78803678762759e-20,"EFCAB13"
"SLC4A7",3.37777902119705e-24,-0.606882611778569,0.322,0.494,9.8752747463717e-20,"SLC4A7"
"TPT1",3.4273978506741e-24,0.37921871623213,0.896,0.789,1.00203403562308e-19,"TPT1"
"TNC",4.00573336242114e-24,-0.766004312833348,0.013,0.142,1.17111620583745e-19,"TNC"
"JMJD1C",4.26541277223321e-24,-0.566161227523996,0.779,0.849,1.2470360780901e-19,"JMJD1C"
"SKP1",4.26678024720706e-24,0.294657601563135,0.505,0.31,1.24743587307346e-19,"SKP1"
"IRAK3",4.41630193664155e-24,0.303200838427282,0.474,0.271,1.29115003419652e-19,"IRAK3"
"COL4A2",4.65813181710614e-24,0.344223233689879,0.878,0.704,1.36185141804915e-19,"COL4A2"
"GABARAP",4.67634860742242e-24,0.276734309283218,0.551,0.338,1.36717727886602e-19,"GABARAP"
"MSRB3",5.19136688341701e-24,-0.439592570551799,0.253,0.441,1.5177480220358e-19,"MSRB3"
"OSBPL9",5.66203326192648e-24,0.361505681103771,0.632,0.435,1.65535204445682e-19,"OSBPL9"
"MT-ND5",5.74907793514763e-24,0.300534315788501,0.637,0.428,1.68080042511976e-19,"MT-ND5"
"KAT6B",7.01628523277102e-24,0.330405103611557,0.425,0.241,2.05128115065294e-19,"KAT6B"
"TSHZ2",9.50022532310782e-24,-0.483099866475101,0.41,0.608,2.7774858754638e-19,"TSHZ2"
"ZRANB2-AS2",1.35510922537644e-23,0.324337253020608,0.289,0.136,3.96179733131056e-19,"ZRANB2-AS2"
"MT-ND4",1.4589290337356e-23,0.346104311721117,0.911,0.807,4.26532492302939e-19,"MT-ND4"
"PELI2",1.90675019105e-23,0.326459179538719,0.371,0.195,5.57457485855378e-19,"PELI2"
"TMEM47",2.59580575262206e-23,0.270171143112035,0.294,0.14,7.58909769836586e-19,"TMEM47"
"ANK2",2.60752644424122e-23,-0.537570086445191,0.17,0.357,7.62336431238363e-19,"ANK2"
"SOX9",3.00487080312919e-23,0.26086030577593,0.355,0.182,8.7850402800285e-19,"SOX9"
"TCF4",3.74183881183868e-23,0.378927945872915,0.904,0.831,1.09396399502916e-18,"TCF4"
"C1orf21",4.067838799181e-23,0.325186613911596,0.595,0.378,1.18927335132856e-18,"C1orf21"
"SMIM14",4.83084527609139e-23,0.293410461896956,0.397,0.219,1.41234592491808e-18,"SMIM14"
"CNBP",5.65638733106329e-23,0.257722454187344,0.454,0.262,1.65370140010966e-18,"CNBP"
"NEAT1",5.98028972665175e-23,-0.629111023823736,0.966,0.974,1.74839750448391e-18,"NEAT1"
"ASAP1",6.06924109642592e-23,-0.4519742655693,0.421,0.59,1.77440332695108e-18,"ASAP1"
"CGNL1",6.64063784512696e-23,0.287353231583319,0.291,0.138,1.94145688040132e-18,"CGNL1"
"COL6A6",8.0483264608259e-23,-0.416640836527137,0.063,0.213,2.35300872408706e-18,"COL6A6"
"FHL2",8.28106565126182e-23,-0.389044689538503,0.274,0.46,2.42105235380291e-18,"FHL2"
"BCKDHB",9.13665777344957e-23,0.318602497293435,0.317,0.158,2.67119326664572e-18,"BCKDHB"
"BICD1",1.11000983483406e-22,-0.507215646753179,0.243,0.413,3.24522475312087e-18,"BICD1"
"LRRK2",1.30865024543513e-22,0.26257249971357,0.396,0.217,3.82596985755416e-18,"LRRK2"
"MAP4",1.61741270985041e-22,-0.414880482184817,0.461,0.622,4.72866779851865e-18,"MAP4"
"HIBADH",1.71121556834592e-22,0.32360692384032,0.38,0.207,5.00290983561612e-18,"HIBADH"
"LUC7L2",2.95401359534838e-22,0.311484113713344,0.594,0.402,8.63635414736052e-18,"LUC7L2"
"PDLIM5",2.95482247669377e-22,-0.389301191457729,0.321,0.504,8.63871899286191e-18,"PDLIM5"
"DISC1",3.85430557731052e-22,0.374582597086688,0.294,0.143,1.1268447785825e-17,"DISC1"
"PIK3R1",5.10089688737684e-22,0.250377442861407,0.516,0.311,1.49129821399349e-17,"PIK3R1"
"AL513166.1",5.45392680683265e-22,0.332843573194168,0.279,0.13,1.59451004124559e-17,"AL513166.1"
"GUCY1A2",5.58043967148041e-22,-0.369894367502907,0.016,0.139,1.63149734235401e-17,"GUCY1A2"
"LINC00342",6.22374412496262e-22,-0.307700946834117,0.104,0.264,1.81957383237407e-17,"LINC00342"
"PTEN",8.99092061665805e-22,0.326154121459135,0.695,0.499,2.62858555148615e-17,"PTEN"
"CHSY3",1.10429324584477e-21,-0.616403056681266,0.226,0.403,3.22851173355176e-17,"CHSY3"
"RPL6",1.3014286290697e-21,0.284377876364703,0.652,0.441,3.80485673994819e-17,"RPL6"
"THBS2",1.42295894956201e-21,-0.497073485516456,0.273,0.44,4.16016278493949e-17,"THBS2"
"UBE2E2",1.6701089664578e-21,-0.43018569501204,0.568,0.705,4.88273057433603e-17,"UBE2E2"
"AZI2",2.5448310641228e-21,0.253435251067152,0.362,0.195,7.44006809906941e-17,"AZI2"
"PDE7A",3.67973090048331e-21,0.339396240876802,0.411,0.243,1.0758061260653e-16,"PDE7A"
"TNXB",3.91267980875547e-21,-0.530283785729566,0.576,0.677,1.14391106888775e-16,"TNXB"
"RFTN2",5.03256127748614e-21,0.318259152192794,0.407,0.237,1.47131961508585e-16,"RFTN2"
"QSOX1",5.77949435438179e-21,0.251489796802002,0.331,0.175,1.68969296944706e-16,"QSOX1"
"RNF13",6.20448654517477e-21,0.278956144358501,0.409,0.233,1.8139436863473e-16,"RNF13"
"H3F3B",9.04441153842475e-21,0.263809007216638,0.776,0.56,2.64422415737386e-16,"H3F3B"
"ANKRD10",9.98057208653812e-21,-0.422824911399424,0.383,0.527,2.91792005522028e-16,"ANKRD10"
"AC037198.1",1.5506594113237e-20,-0.255505977740189,0.015,0.129,4.53350785494596e-16,"AC037198.1"
"COX7C",2.00098781487797e-20,0.279494956931428,0.482,0.304,5.85008797557722e-16,"COX7C"
"NT5C2",2.51881036553956e-20,0.288217717625033,0.541,0.35,7.36399398469146e-16,"NT5C2"
"AC018742.1",3.65169966566736e-20,-0.377926914353808,0.005,0.109,1.06761091425451e-15,"AC018742.1"
"SLC2A3",3.66040999584154e-20,-0.304615461082578,0.059,0.195,1.07015746638423e-15,"SLC2A3"
"PPIA",3.74151494053174e-20,0.254975585276269,0.551,0.361,1.09386930801386e-15,"PPIA"
"ABCA5",4.42123940475158e-20,0.266612439052101,0.38,0.213,1.29259355237317e-15,"ABCA5"
"IER2",6.55003925640127e-20,-0.26919014982742,0.075,0.217,1.91496947700147e-15,"IER2"
"RPL19",6.61214340791815e-20,0.292837891633765,0.726,0.542,1.93312624673895e-15,"RPL19"
"ZHX3",7.13668067791627e-20,0.290921063204767,0.474,0.294,2.0864799629956e-15,"ZHX3"
"RNLS",7.6877392740246e-20,0.299569730722682,0.242,0.11,2.24758745415383e-15,"RNLS"
"IGFBP7",8.12355483892893e-20,-0.463648196420574,0.931,0.939,2.37500249270926e-15,"IGFBP7"
"CPXM2",8.29345110185538e-20,-0.253618162668274,0.011,0.119,2.42467336413844e-15,"CPXM2"
"SLCO3A1",9.37854036818979e-20,-0.424707749121645,0.204,0.367,2.74191006204397e-15,"SLCO3A1"
"AC023509.6",1.09250782775358e-19,0.253423916298346,0.279,0.139,3.19405588522036e-15,"AC023509.6"
"DIRC3",1.19737611545862e-19,0.263963686646494,0.184,0.071,3.50064881115481e-15,"DIRC3"
"GRB10",1.21679234317109e-19,0.321660912130124,0.549,0.373,3.557414094495e-15,"GRB10"
"BMP6",1.24063096910692e-19,0.274480329029327,0.182,0.07,3.62710870128098e-15,"BMP6"
"AC104041.1",1.55748142262055e-19,-0.420698582557689,0.06,0.197,4.55345268717344e-15,"AC104041.1"
"SEC24D",3.1685624552006e-19,-0.416569947647144,0.4,0.542,9.26360919402446e-15,"SEC24D"
"MAN2A1",6.19639558874208e-19,0.416173264797512,0.554,0.403,1.81157821432464e-14,"MAN2A1"
"LINC01578",6.22379940866272e-19,0.288450106071384,0.514,0.34,1.81958999511663e-14,"LINC01578"
"CUX1",8.21822808885759e-19,0.356202477084033,0.703,0.544,2.4026811640584e-14,"CUX1"
"HGF",8.98037160022812e-19,-0.294545857641034,0.038,0.158,2.62550144104269e-14,"HGF"
"LITAF",1.20243132406514e-18,-0.413929194808084,0.192,0.34,3.51542821903685e-14,"LITAF"
"ZNF33A",1.44583340151173e-18,0.262323392270114,0.282,0.146,4.2270385326597e-14,"ZNF33A"
"ATP13A3",1.62126767717211e-18,-0.570894789418081,0.241,0.381,4.73993818098039e-14,"ATP13A3"
"AC008014.1",2.32451260890576e-18,0.26916424215184,0.212,0.092,6.79594506339687e-14,"AC008014.1"
"PCSK6",2.53362674122011e-18,-0.690961425862001,0.477,0.586,7.4073111406311e-14,"PCSK6"
"NIN",2.71205395527693e-18,-0.322122101993459,0.167,0.322,7.92896094364762e-14,"NIN"
"PCOLCE",3.43444852693608e-18,-0.358432611274803,0.249,0.398,1.00409537133503e-13,"PCOLCE"
"SULF1",4.39612437112715e-18,-0.504145718529832,0.315,0.458,1.28525092114273e-13,"SULF1"
"LRRC49",4.78046483378234e-18,0.275103587585618,0.268,0.136,1.3976166988046e-13,"LRRC49"
"PCMTD1",5.30356350715235e-18,0.260686990720852,0.496,0.321,1.55054982695106e-13,"PCMTD1"
"SOBP",7.14543336504833e-18,0.333226059406255,0.664,0.492,2.08903889860553e-13,"SOBP"
"NTM",7.39495426279784e-18,-0.328524815205095,0.045,0.164,2.16198882827158e-13,"NTM"
"PCSK5",7.70291930803064e-18,0.29705654554787,0.372,0.218,2.25202548889584e-13,"PCSK5"
"TPM1",8.27974789493662e-18,-0.446834531192269,0.391,0.543,2.42066709456367e-13,"TPM1"
"RPL8",9.83451940641649e-18,0.268079444594866,0.658,0.481,2.87522009365993e-13,"RPL8"
"PMEPA1",1.18430433699819e-17,-0.336270067339673,0.093,0.227,3.46243215964791e-13,"PMEPA1"
"SCMH1",1.26486673464798e-17,-0.400309515634317,0.326,0.472,3.69796438541684e-13,"SCMH1"
"SNX13",1.59268450960845e-17,0.266813281777287,0.449,0.286,4.65637243229126e-13,"SNX13"
"ADIPOR2",1.70234054342682e-17,0.271215916754994,0.33,0.187,4.97696281276266e-13,"ADIPOR2"
"RIC1",1.88382354381889e-17,0.251389688617132,0.435,0.272,5.5075465127089e-13,"RIC1"
"AP003086.1",1.99035895526132e-17,0.270684854142529,0.391,0.234,5.81901344160199e-13,"AP003086.1"
"BMP2K",2.09252706985619e-17,-0.34354094315403,0.163,0.312,6.11771214143156e-13,"BMP2K"
"AUH",2.46441998950789e-17,0.276870483704411,0.371,0.222,7.20497828132527e-13,"AUH"
"CALU",2.51941396172337e-17,-0.313169822563375,0.308,0.456,7.36575865849443e-13,"CALU"
"LARGE1",4.35475315453834e-17,-0.316168944224941,0.214,0.372,1.27315563226083e-12,"LARGE1"
"PRR16",4.73110219519837e-17,0.284242189037734,0.589,0.392,1.3831850377882e-12,"PRR16"
"TMTC1",5.41136675860944e-17,0.434152120541572,0.345,0.206,1.58206718554706e-12,"TMTC1"
"SFPQ",5.53500110002425e-17,-0.295629324752922,0.343,0.494,1.61821292160309e-12,"SFPQ"
"PDE7B",6.2542670568683e-17,0.370183827796246,0.444,0.289,1.82849751674602e-12,"PDE7B"
"ARHGAP12",6.44307807311732e-17,0.252137900725845,0.422,0.265,1.88369830545658e-12,"ARHGAP12"
"CPE",6.52770079114632e-17,-0.265853403770974,0.095,0.23,1.90843860329954e-12,"CPE"
"VGLL4",7.41251539319541e-17,0.292781388095493,0.422,0.268,2.16712300035461e-12,"VGLL4"
"RPS8",1.13421038426011e-16,0.273410856078044,0.664,0.503,3.31597747942286e-12,"RPS8"
"SUMF1",1.21459808518196e-16,0.281181525498424,0.361,0.215,3.55099896183798e-12,"SUMF1"
"PDE3A",1.2221429849614e-16,0.573535463496399,0.56,0.452,3.57305723083314e-12,"PDE3A"
"MOXD1",1.54719241187487e-16,-0.404011995547596,0.143,0.279,4.52337173535737e-12,"MOXD1"
"MITF",1.60951826186905e-16,-0.266830047587958,0.089,0.222,4.70558759040037e-12,"MITF"
"GPC6",1.62566499650452e-16,-0.48000590294122,0.174,0.326,4.75279418378062e-12,"GPC6"
"BACH2",2.35546986306367e-16,0.357735387419121,0.534,0.385,6.88645169165296e-12,"BACH2"
"CMYA5",2.60249260006623e-16,-0.35240831859683,0.109,0.24,7.60864736555363e-12,"CMYA5"
"PRKCE",2.70343040515468e-16,-0.381278035395943,0.258,0.407,7.90374913251022e-12,"PRKCE"
"NFIA",2.83094844022585e-16,0.3953540301055,0.892,0.827,8.27656085984429e-12,"NFIA"
"LIMA1",3.52548289205548e-16,-0.314948789689383,0.266,0.408,1.03071017832134e-11,"LIMA1"
"ATF7IP",3.57730911991629e-16,0.298425543000798,0.444,0.294,1.04586209429873e-11,"ATF7IP"
"TNRC6B",3.61315695604627e-16,0.268212811365554,0.644,0.479,1.05634256766969e-11,"TNRC6B"
"HK1",3.67924131569806e-16,-0.307483261046328,0.164,0.303,1.07566299105749e-11,"HK1"
"MPDZ",3.69057900208463e-16,-0.345074262413945,0.298,0.442,1.07897767704946e-11,"MPDZ"
"FRMD3",5.18610948495096e-16,0.300014128654557,0.289,0.158,1.51621096902026e-11,"FRMD3"
"MAML2",6.09406889343029e-16,0.414566384412989,0.782,0.659,1.78166198168328e-11,"MAML2"
"ZFP36",6.67637883939598e-16,-0.495298690541683,0.305,0.428,1.95190611748581e-11,"ZFP36"
"TANC1",1.287807501937e-15,-0.285930089504155,0.113,0.244,3.765034012663e-11,"TANC1"
"VMP1",1.5914510822145e-15,-0.45616328793225,0.345,0.469,4.65276638396232e-11,"VMP1"
"ACTN1",1.96295348425018e-15,-0.338851244227918,0.168,0.297,5.73889080655383e-11,"ACTN1"
"KCTD8",1.97430037087506e-15,0.318570080895293,0.236,0.121,5.77206456429032e-11,"KCTD8"
"GOLGA4",2.09316691142786e-15,-0.331576588586001,0.336,0.481,6.11958278225049e-11,"GOLGA4"
"SGCD",2.4975679076962e-15,-0.320337069593191,0.217,0.366,7.3018895349406e-11,"SGCD"
"FYN",2.60419819900362e-15,0.272180805057718,0.594,0.433,7.61363385460699e-11,"FYN"
"MIR99AHG",3.24439946511059e-15,0.348007998723951,0.842,0.753,9.48532627619733e-11,"MIR99AHG"
"PALM2-AKAP2",3.28742524558361e-15,-0.444926957306663,0.244,0.383,9.61111644798824e-11,"PALM2-AKAP2"
"SLIT3",3.45753465228117e-15,-0.332735927850702,0.085,0.209,1.01084483094092e-10,"SLIT3"
"RASA1",3.94355073899447e-15,0.256764456443644,0.555,0.395,1.15293649405242e-10,"RASA1"
"CD44",4.04543661793053e-15,-0.286114797118992,0.115,0.243,1.18272384961817e-10,"CD44"
"ADD3",4.52730864408573e-15,0.337550367558129,0.673,0.53,1.3236039551849e-10,"ADD3"
"CCBE1",5.11326499154338e-15,0.278485370175615,0.139,0.054,1.49491415292762e-10,"CCBE1"
"SLC2A13",6.7927817574067e-15,0.39855439723189,0.496,0.363,1.98593767459542e-10,"SLC2A13"
"LTBP2",6.86527207915272e-15,0.255636116345734,0.742,0.566,2.00713094506109e-10,"LTBP2"
"TIAM1",1.06515883849049e-14,-0.336078728474554,0.118,0.241,3.11409838021079e-10,"TIAM1"
"MT-CO1",1.14797350019787e-14,0.262260513479877,0.989,0.957,3.35621532517848e-10,"MT-CO1"
"ABLIM1",1.22859526398619e-14,0.305198541445162,0.585,0.458,3.59192111379002e-10,"ABLIM1"
"EHBP1",1.63691086395387e-14,0.259633331245445,0.521,0.359,4.78567260185553e-10,"EHBP1"
"MGAT5",1.69298258289053e-14,-0.292059074169657,0.138,0.265,4.94960387933875e-10,"MGAT5"
"LAMA4",1.81392732597962e-14,-0.314405205066169,0.173,0.305,5.30319793023402e-10,"LAMA4"
"ENAH",2.03404316455578e-14,-0.296372213900744,0.154,0.283,5.94672859589527e-10,"ENAH"
"ANKRD17",2.21851576977795e-14,-0.326989305682749,0.497,0.617,6.48605270452283e-10,"ANKRD17"
"CCNL1",2.48538204830334e-14,-0.352463653480559,0.263,0.386,7.26626295641965e-10,"CCNL1"
"AMOTL1",3.00283897846528e-14,-0.317586878484326,0.234,0.367,8.7791000374411e-10,"AMOTL1"
"LMO7",3.27097412116159e-14,-0.310943264572885,0.064,0.17,9.56301994062803e-10,"LMO7"
"SPECC1",3.32724569332076e-14,-0.31001418981541,0.179,0.307,9.72753550899257e-10,"SPECC1"
"FAP",3.72582834178321e-14,-0.300684986423981,0.112,0.23,1.08928317400374e-09,"FAP"
"PICALM",3.80792431105313e-14,-0.323243908210987,0.462,0.592,1.11328475157949e-09,"PICALM"
"RFTN1",4.05646203542574e-14,0.343276552784498,0.466,0.33,1.18594724067707e-09,"RFTN1"
"ENG",4.21473840610317e-14,-0.408620061344233,0.383,0.491,1.23222092040832e-09,"ENG"
"TANC2",4.32749765166783e-14,-0.324670863448429,0.182,0.312,1.26518721344161e-09,"TANC2"
"NAV3",4.61648838915912e-14,-0.435616574691886,0.239,0.37,1.34967654545456e-09,"NAV3"
"PCED1B",5.25705518181313e-14,0.305375396491769,0.261,0.146,1.53695265295489e-09,"PCED1B"
"ANO6",5.34260512564294e-14,-0.295708852497153,0.253,0.387,1.56196403453297e-09,"ANO6"
"IMMP2L",5.59719586254408e-14,0.408014618604974,0.757,0.672,1.63639618237339e-09,"IMMP2L"
"SYNJ2",7.33933372456825e-14,-0.2751496845346,0.079,0.188,2.14572760771477e-09,"SYNJ2"
"EPB41L2",7.44527915650714e-14,-0.353910823511208,0.518,0.618,2.17670181419643e-09,"EPB41L2"
"DPYSL3",7.76340638261413e-14,-0.48692327596655,0.249,0.377,2.26970949002107e-09,"DPYSL3"
"PLEKHA5",9.32790623140133e-14,0.327123979503495,0.773,0.668,2.72710666581249e-09,"PLEKHA5"
"IFI16",9.9553332921738e-14,-0.35978876092074,0.332,0.445,2.91054124129993e-09,"IFI16"
"MYO1D",1.52170751766776e-13,-0.517840985801203,0.382,0.491,4.44886409865345e-09,"MYO1D"
"ARHGEF26",1.60425376157491e-13,-0.32279590717545,0.13,0.251,4.69019629734042e-09,"ARHGEF26"
"ARHGAP42",2.2686081317252e-13,-0.255174697118687,0.189,0.321,6.6325027339118e-09,"ARHGAP42"
"MEG8",2.43791603173694e-13,0.597480065084165,0.727,0.606,7.12749131038613e-09,"MEG8"
"DGKH",2.46504952867883e-13,-0.313030492316428,0.167,0.291,7.20681880204542e-09,"DGKH"
"EPS8",2.53677486473255e-13,0.302434179581802,0.732,0.604,7.41651499453207e-09,"EPS8"
"ABCA10",2.61370629081766e-13,0.287540708626517,0.797,0.663,7.64143171183451e-09,"ABCA10"
"HMCN1",2.69105517452786e-13,-0.426351384354711,0.242,0.369,7.86756890824965e-09,"HMCN1"
"EEA1",3.2229068135276e-13,-0.324113033062215,0.307,0.431,9.42249036002929e-09,"EEA1"
"ETV6",3.39580817585932e-13,-0.308294622272466,0.248,0.381,9.92798478294231e-09,"ETV6"
"FOS",3.52574357497499e-13,-0.309543792385171,0.059,0.157,1.03078639157969e-08,"FOS"
"COL6A2",3.8167912346902e-13,-0.387971678696391,0.794,0.801,1.11587708537403e-08,"COL6A2"
"FMOD",4.32097730397001e-13,-0.312118487088983,0.069,0.171,1.26328092458867e-08,"FMOD"
"MYH10",5.21991504153589e-13,-0.366828532395859,0.218,0.342,1.52609436154343e-08,"MYH10"
"PSD3",7.7775231420025e-13,-0.287900898445555,0.391,0.535,2.27383666579585e-08,"PSD3"
"SPARC",9.04679299549134e-13,-0.521359281740518,0.555,0.609,2.64492040016185e-08,"SPARC"
"NCOA1",9.53470246367991e-13,-0.3149156878265,0.596,0.704,2.78756561228146e-08,"NCOA1"
"PLAGL1",1.24119892853205e-12,-0.391141672318227,0.45,0.552,3.62876918745631e-08,"PLAGL1"
"KCNQ1OT1",1.76965303253767e-12,-0.410263186321418,0.174,0.287,5.17375760592714e-08,"KCNQ1OT1"
"MRC2",1.97097362094485e-12,-0.409859913755145,0.471,0.554,5.76233847819435e-08,"MRC2"
"ANTXR2",2.89984970968519e-12,0.257362481646928,0.515,0.373,8.47800061123562e-08,"ANTXR2"
"EDIL3",2.92540995252785e-12,-0.355672616520742,0.216,0.341,8.55272853721042e-08,"EDIL3"
"NF1",3.00727876107862e-12,-0.346654776492682,0.511,0.594,8.79208018588944e-08,"NF1"
"COL5A1",3.32077660522522e-12,-0.355976458138782,0.38,0.479,9.70862248303646e-08,"COL5A1"
"TTN",4.99195208599502e-12,-0.288865734193189,0.213,0.349,1.4594471118615e-07,"TTN"
"COL12A1",5.44218109386092e-12,-0.499114525689801,0.479,0.556,1.59107606460118e-07,"COL12A1"
"AOPEP",7.50999101413586e-12,-0.341419277471797,0.45,0.567,2.19562097289276e-07,"AOPEP"
"UGCG",9.26734235119105e-12,-0.272019233022555,0.142,0.251,2.70940020979422e-07,"UGCG"
"TMEM108",1.00765667364857e-11,-0.3100345329767,0.13,0.24,2.94598505107896e-07,"TMEM108"
"CAMKMT",1.21369041771238e-11,0.251173989368899,0.373,0.246,3.54834530522391e-07,"CAMKMT"
"NAMPT",1.25120431250228e-11,-0.761996177946853,0.164,0.267,3.65802092803167e-07,"NAMPT"
"TENM4",1.40035490720951e-11,-0.310553900781365,0.207,0.322,4.09407760671774e-07,"TENM4"
"AEBP1",1.40293506816239e-11,-0.551712580700961,0.31,0.413,4.10162096527956e-07,"AEBP1"
"ITGB1",1.58381662712575e-11,-0.313427212951813,0.491,0.565,4.63044629106485e-07,"ITGB1"
"TLL2",1.74204579733724e-11,-0.324179598527772,0.169,0.283,5.09304509309515e-07,"TLL2"
"EML4",1.98731953815895e-11,-0.255917754879047,0.167,0.281,5.8101274017615e-07,"EML4"
"RBPMS",2.16708680979642e-11,-0.278680540076154,0.33,0.46,6.33569499712082e-07,"RBPMS"
"TUBA1B",2.21234306260884e-11,-0.269759427783524,0.237,0.346,6.46800617784319e-07,"TUBA1B"
"COL15A1",2.26438328803726e-11,-0.432341451079206,0.688,0.712,6.62015098090575e-07,"COL15A1"
"TIPARP",2.88274267739303e-11,-0.274444833934537,0.09,0.189,8.42798649162625e-07,"TIPARP"
"UBA6-AS1",3.24194050942362e-11,-0.291209094669762,0.108,0.208,9.47813727335088e-07,"UBA6-AS1"
"MARCH3",4.29102206836634e-11,-0.445185485572731,0.169,0.276,1.25452321190758e-06,"MARCH3"
"LINC00377",5.07968375224798e-11,-0.329729387684332,0.127,0.229,1.48509634180722e-06,"LINC00377"
"CILP",5.89883277280444e-11,-0.374648430597702,0.17,0.277,1.72458274945711e-06,"CILP"
"CMSS1",6.18036471732035e-11,0.348524618508919,0.5,0.389,1.80689142875578e-06,"CMSS1"
"PDLIM3",6.57567740526625e-11,-0.259861133388503,0.201,0.315,1.92246504620364e-06,"PDLIM3"
"SSH1",6.67401795621307e-11,-0.27846853135666,0.155,0.26,1.95121588967845e-06,"SSH1"
"PTPRE",6.92414756571286e-11,-0.261314457303939,0.117,0.218,2.02434378231181e-06,"PTPRE"
"FAT1",7.04103317213971e-11,-0.294510535512856,0.13,0.234,2.05851645820677e-06,"FAT1"
"KLF12",7.53879417811629e-11,-0.286815783781091,0.373,0.496,2.20404186591408e-06,"KLF12"
"TLN2",9.14830258160126e-11,0.318818135705463,0.377,0.266,2.67459774275695e-06,"TLN2"
"MFAP4",9.69008741691483e-11,-0.330194203056428,0.206,0.316,2.83299395720922e-06,"MFAP4"
"THBS4",9.72114961495658e-11,-0.781820442329566,0.317,0.409,2.84207530142871e-06,"THBS4"
"PI16",1.12987850672219e-10,-0.413796209604987,0.138,0.238,3.30331280225298e-06,"PI16"
"TJP1",1.13227027222616e-10,-0.26471417871088,0.294,0.406,3.31030536788039e-06,"TJP1"
"MATN2",1.43596407653881e-10,-0.263556360530949,0.231,0.339,4.19818457416887e-06,"MATN2"
"MIR4435-2HG",1.67680807375419e-10,-0.374135855120084,0.218,0.321,4.90231608442775e-06,"MIR4435-2HG"
"KALRN",1.86096907108639e-10,-0.294485543042439,0.078,0.168,5.44072917622818e-06,"KALRN"
"FILIP1",1.87965873396178e-10,-0.348337066488258,0.323,0.43,5.49537027461065e-06,"FILIP1"
"SOX5",1.89545260981066e-10,0.382498998535211,0.526,0.425,5.54154525004244e-06,"SOX5"
"NIBAN1",2.42318403524926e-10,-0.271698553746283,0.179,0.287,7.08442084545475e-06,"NIBAN1"
"ACTB",2.75899267992934e-10,-0.345298340781397,0.644,0.698,8.06619099904143e-06,"ACTB"
"MIR100HG",3.97223824093516e-10,-0.504482311621969,0.509,0.581,1.1613235721198e-05,"MIR100HG"
"ROR1",4.32253892363596e-10,-0.27454610956883,0.184,0.291,1.26373747971421e-05,"ROR1"
"ZNF385D",4.58929862801645e-10,-0.404309118650533,0.269,0.374,1.34172734688689e-05,"ZNF385D"
"EGFR",5.49183388932171e-10,-0.447505203640576,0.791,0.762,1.6055925558821e-05,"EGFR"
"HMCN2",6.03077216238036e-10,-0.308559126615023,0.195,0.295,1.76315654939352e-05,"HMCN2"
"MGP",7.07590304361053e-10,-0.411620382134992,0.956,0.95,2.06871101382997e-05,"MGP"
"HSPG2",9.28080795196686e-10,-0.362482242060139,0.515,0.581,2.71333701283703e-05,"HSPG2"
"HSPB1",9.65735646781099e-10,0.261355523260208,0.68,0.556,2.82342473692922e-05,"HSPB1"
"BMPR2",1.15881531819241e-09,-0.448766776335902,0.422,0.495,3.38791246426734e-05,"BMPR2"
"ANKH",1.17080498299814e-09,-0.617745183458019,0.405,0.477,3.42296544829335e-05,"ANKH"
"ELL2",1.23723442626452e-09,-0.350722466305043,0.376,0.243,3.61717856862696e-05,"ELL2"
"PREX2",1.30361183844518e-09,-0.345488440498532,0.391,0.479,3.81123957087834e-05,"PREX2"
"CHD1",1.84459592814743e-09,-0.37255181479781,0.286,0.387,5.39286065553182e-05,"CHD1"
"LAMB1",2.38046516671622e-09,-0.315259478164637,0.821,0.793,6.95952796141153e-05,"LAMB1"
"FNIP2",2.49711128370522e-09,-0.274475487310145,0.188,0.288,7.30055454904059e-05,"FNIP2"
"HSPA5",2.96990600639683e-09,-0.265128562518965,0.259,0.355,8.68281720030178e-05,"HSPA5"
"TCF12",3.25154339278824e-09,-0.290689352062414,0.692,0.746,9.50621226315569e-05,"TCF12"
"MAGI2",3.68481968518499e-09,-0.310818243498613,0.466,0.569,0.000107729388316068,"MAGI2"
