"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","GeneName"
"DEPP1",5.82177938017833e-62,0.609570878133327,0.531,0.221,1.70205541958894e-57,"DEPP1"
"RPLP2",7.73840754130902e-62,0.636199547067958,0.783,0.515,2.2624008287771e-57,"RPLP2"
"OMD",1.02448204636614e-61,0.49805551135003,0.644,0.313,2.99517571075606e-57,"OMD"
"SMC5-AS1",2.56945801333441e-61,0.434511951541585,0.353,0.101,7.51206744778449e-57,"SMC5-AS1"
"CELF2",3.45179104545694e-61,0.697548570570514,0.907,0.798,1.00916563004979e-56,"CELF2"
"SPARCL1",6.51917074283815e-61,0.582467144131413,0.979,0.893,1.90594475837616e-56,"SPARCL1"
"PROCR",6.60344260732713e-61,0.435573586662696,0.383,0.119,1.93058248067816e-56,"PROCR"
"AC005165.1",8.49548096852922e-61,0.640182204499698,0.345,0.096,2.4837388159592e-56,"AC005165.1"
"RPL30",1.39529276242974e-60,0.621674490305478,0.787,0.505,4.07927792023959e-56,"RPL30"
"LAMC1",1.42556998844827e-60,0.709659417497657,0.914,0.77,4.16779641822736e-56,"LAMC1"
"TANK",1.94098334358195e-60,0.604995979141069,0.662,0.35,5.6746589032962e-56,"TANK"
"FGF14",2.8433517475235e-60,-1.38022649354936,0.155,0.475,8.31282316905972e-56,"FGF14"
"RPS16",2.96538977710867e-60,0.576210651846991,0.801,0.501,8.6696135523549e-56,"RPS16"
"DPT",3.19375147684373e-60,-0.733637027994155,0.229,0.546,9.33725181770033e-56,"DPT"
"GPX4",4.745283328219e-60,0.488827274228546,0.596,0.278,1.38733103383811e-55,"GPX4"
"RPS25",6.85717552148411e-60,0.597137607572564,0.781,0.506,2.0047638354611e-55,"RPS25"
"ZFY",2.34404274666213e-59,0.311482568769269,0.244,0.044,6.85304337414141e-55,"ZFY"
"SAMD4A",2.54086542165611e-59,-0.993785385537503,0.232,0.532,7.42847414675381e-55,"SAMD4A"
"AC007319.1",3.09874262127546e-59,0.871211671040167,0.779,0.485,9.05948392756094e-55,"AC007319.1"
"KDM5D",4.69891257053392e-59,0.307738991753139,0.273,0.058,1.3737740791213e-54,"KDM5D"
"AL357873.1",5.3132549443015e-59,0.400466687143237,0.269,0.057,1.55338321551599e-54,"AL357873.1"
"KLF15",1.30666628147524e-58,0.271901155547275,0.233,0.04,3.82016954052101e-54,"KLF15"
"LGALS3",1.46264827015739e-58,0.53594134627712,0.649,0.354,4.27619848263215e-54,"LGALS3"
"RPL23A",2.4493500787397e-58,0.586462877642544,0.768,0.487,7.16091989020339e-54,"RPL23A"
"SUN2",9.06876069946081e-58,0.356799631875778,0.358,0.108,2.65134287809436e-53,"SUN2"
