"","Chemo_p_val","Chemo_avg_log2FC","Chemo_pct.1","Chemo_pct.2","Chemo_p_val_adj"
"LITAF",0.0332579796240223,-0.978792855436599,0.187,0.204,1
"WDR19",0.0334035150935116,-0.259170835401541,0.161,0.112,1
"PRDM4",0.0334243591209256,-0.290044777271748,0.144,0.098,1
"RPL21",0.0336297871162342,-0.992125590708385,0.632,0.484,1
"SRGAP2C",0.0338767164405972,-0.542272835567096,0.089,0.116,1
"KMT2E",0.0339919042561697,-0.270770993370471,0.822,0.615,1
"GAS7",0.0340468817799524,-0.858529236302445,0.374,0.261,1
"AL138828.1",0.0341359088553894,-0.634260086773124,0.181,0.203,1
"CHMP2A",0.0343383392343193,-0.314481525532142,0.155,0.107,1
"SOAT1",0.034390192743532,-0.541214018706228,0.115,0.142,1
"FAM126A",0.0344790248179691,-0.673596848318627,0.466,0.312,1
"LDAH",0.0346035064919759,-0.312389117362021,0.25,0.18,1
"SELENOM",0.0348338546792387,-0.543571578838519,0.207,0.142,1
"FAM124A",0.0350775061285336,-0.408809680716648,0.109,0.138,1
"TMOD3",0.0364929139115691,-0.917172478435116,0.365,0.332,1
"MAN1C1",0.0368904273633363,-0.3285682631713,0.267,0.191,1
"KLHL8",0.036968698759376,-0.385204072725054,0.236,0.167,1
"NPC2",0.0370100951427873,-0.371476612041347,0.204,0.143,1
"SSBP3",0.0370306489536997,-0.386616771191765,0.46,0.317,1
"TNFSF13B",0.0373168223278186,-0.334997027210729,0.161,0.112,1
"PDZD2",0.0373249627214241,-0.557870691673638,0.805,0.5,1
"TGFBR3",0.0376577052749484,-0.595971699405522,0.428,0.296,1
"CD81",0.0378827168178674,-1.05965508592133,0.632,0.487,1
"TNS2",0.0380283468596285,-0.59578498854511,0.158,0.18,1
"PHIP",0.0380760182971516,-0.649081225645188,0.678,0.524,1
"AC104806.2",0.0381474615894839,-0.318244288042081,0.167,0.117,1
"SYNE3",0.038387554996733,-0.282893167301414,0.072,0.1,1
"SMYD3",0.0387557631110499,-0.887343980271309,0.615,0.499,1
"S100A13",0.0388150058745661,-0.347596784030076,0.184,0.129,1
"PPFIBP2",0.0392462257442232,-0.308429528885567,0.109,0.139,1
"CREB3L2",0.0396361065025081,-0.864235705053365,0.259,0.26,1
"RSRP1",0.0397807428912397,-0.430733902303737,0.638,0.42,1
"ERICH1",0.0406671563197544,-0.687940511624002,0.21,0.222,1
"AC012613.1",0.041194577880668,-0.539991478936574,0.075,0.102,1
"FKBP1A",0.0413024184943253,-0.814586049865078,0.181,0.196,1
"RPL7A",0.0413507134607756,-0.891174410839944,0.477,0.406,1
"BRK1",0.0413885727207341,-0.364010876176967,0.175,0.122,1
"RPS8",0.0415155272481594,-1.08332924047822,0.509,0.409,1
"SNX29",0.0422684009342662,-0.706472689710189,0.586,0.388,1
"ARL2",0.0424728102120633,-0.252504199297561,0.135,0.094,1
"VGLL4",0.0431669888660844,-0.851546762667579,0.48,0.398,1
"MAMDC2",0.0434633025182452,-0.86768484289381,0.129,0.153,1
"RPS15A",0.0441416063779725,-1.02925754787845,0.445,0.378,1
"ARMCX4",0.0451810530527005,-0.515192783094469,0.313,0.221,1
"MLEC",0.0453549372982888,-0.586445794476534,0.351,0.243,1
"TEAD1",0.0454398865708577,-0.514227289910897,0.73,0.458,1
"ANKRD11",0.0455014226386602,-0.674158786982944,0.759,0.594,1
"FCHSD2",0.0456260265859504,-0.687437460450528,0.81,0.594,1
"SDCBP",0.0456503174656275,-0.915111705609701,0.388,0.34,1
"SMIM3",0.0456509209194587,-0.490495741601238,0.08,0.106,1
"CHMP5",0.0456685365288987,-0.295398629012589,0.141,0.098,1
"TSC22D1",0.045791598349327,-1.08505219945992,0.557,0.44,1
"CREBRF",0.0464639216406156,-0.503478765601485,0.376,0.26,1
"PCNX1",0.0464864404126394,-0.443205493980259,0.776,0.52,1
"ANAPC5",0.0469015524526539,-0.506056201298046,0.333,0.234,1
"TSC22D3",0.0469881331366469,-0.896573626509628,0.193,0.203,1
"TECR",0.047497144120755,-0.312129678457093,0.201,0.144,1
"SMAD9",0.0481179915073034,-0.379757199339726,0.118,0.08,1
"TMEM63A",0.0481293785178684,-0.384871138486406,0.221,0.156,1
"CDC40",0.0484901129235619,-0.364317726351846,0.261,0.186,1
"MINDY3",0.0488669323083829,-0.474034073427897,0.33,0.234,1
"LINC01428",0.0492258263215957,-0.267854930825542,0.227,0.161,1
"ADIPOR2",0.0492469807225689,-1.04181203048408,0.368,0.332,1
"ARID4B",0.0492939540322698,-0.75253562305574,0.661,0.516,1
"CMTM6",0.0493891583539682,-0.42086573098074,0.21,0.148,1
"RPS6",0.0494781114438933,-0.934361698590923,0.5,0.419,1
"GATAD2A",0.0495144987220995,-0.65340250937402,0.457,0.313,1
"EIF2AK2",0.0496920660799927,-0.778376938622744,0.244,0.245,1
"PSMC5",0.0498498160955207,-0.279743439551837,0.138,0.096,1
"PALD1",0.050140323138898,-0.558747664459073,0.236,0.167,1
"IL7",0.0501508050533934,-0.835464536984485,0.149,0.105,1
"NHLRC3",0.05015154278034,-0.290784119706884,0.224,0.162,1
"RAB1A",0.0519786978439213,-0.571387228427073,0.655,0.437,1
"USP32",0.0521767229387414,-0.663897780466293,0.566,0.382,1
"DPY19L3",0.052473917897476,-0.261841343291088,0.138,0.097,1
"SEPTIN10",0.0526022939334492,-0.509639861928807,0.204,0.218,1
"MOB3B",0.0528278686732242,-0.433787341610071,0.239,0.173,1
"CD44",0.0530616429556506,-0.982385459406849,0.144,0.163,1
"RPS25",0.0535909655788157,-0.930739325760162,0.569,0.453,1
"NOTCH2",0.0538814783047883,-0.518671953573955,0.316,0.222,1
"MVB12B",0.0542444724376956,-0.74072373792412,0.253,0.253,1
"UBA6-AS1",0.0542770302334889,-0.427788677945582,0.302,0.218,1
"ARL6IP1",0.0544248234318908,-0.393974596131142,0.155,0.109,1
"RPS6KA2",0.0549633100905844,-0.938188701817722,0.58,0.398,1
"ARL6IP4",0.0550950272199043,-0.340132147740132,0.204,0.148,1
"RPL27A",0.0551636465898921,-0.962212643840479,0.569,0.455,1
"SLC39A11",0.0556661537063109,-0.711077723613971,0.365,0.25,1
"RUNX1T1",0.0565388956076881,-0.797032712645049,0.454,0.384,1
"CNOT6L",0.0566007690951195,-1.31538112328768,0.443,0.373,1
"ATP6AP2",0.0568584118163406,-0.399147262038503,0.213,0.151,1
"LAPTM4A",0.0571511157281657,-0.674947063281318,0.497,0.336,1
"SELENOP",0.0572614736601846,-1.10838591662525,0.325,0.299,1
"OS9",0.0572808235254238,-0.360615336508089,0.201,0.144,1
"FNBP1",0.0577955775007651,-1.03390629012738,0.382,0.338,1
"ANXA5",0.0579590754819756,-0.870169743651366,0.316,0.297,1
"DISC1",0.0580469190826954,-0.748422000938996,0.566,0.382,1
"WNT2B",0.0585373479643132,-0.533802078785882,0.17,0.12,1
"PMS1",0.0587932133513202,-0.398755347907516,0.267,0.194,1
"PKD1L1",0.0599312725987891,-1.02554398744088,0.253,0.181,1
"GLB1",0.0603910245816955,-0.3329492532389,0.256,0.185,1
"SND1",0.0607558341375059,-0.468471450928348,0.618,0.409,1
"PNPT1",0.0611790581103051,-0.385617463736271,0.221,0.159,1
"RAPGEF4",0.0621155594346376,-0.740851801242518,0.359,0.256,1
"RASA1",0.0621827167699365,-0.794264787802328,0.635,0.491,1
"SRBD1",0.0624426302015287,-0.442452261049078,0.348,0.251,1
"CTDSPL",0.0624771768960465,-0.776701153101692,0.313,0.3,1
"ADAR",0.0626612074102823,-0.554262290778143,0.399,0.282,1
"ASPN",0.0627899861507001,-0.882889738399482,0.144,0.162,1
"RPL18A",0.0628354958220202,-1.09646884677484,0.466,0.389,1
"PDIA6",0.0631591410134606,-0.487595837366021,0.267,0.191,1
"ZNF706",0.0633281618951013,-0.498747657670956,0.414,0.287,1
"LINC00476",0.0634249107536346,-0.317541543339089,0.273,0.198,1
"RAB20",0.0645524680207297,-0.38001586652857,0.198,0.145,1
"ARL15",0.064621571885603,-0.775966705955622,0.83,0.67,1
"PAPSS1",0.0660334753433762,-0.310483345395353,0.083,0.109,1
"ABHD17A",0.0665305977662417,-0.301985877944922,0.118,0.082,1
"RPL38",0.066711424586617,-0.558278993145943,0.437,0.305,1
"BCR",0.0686526789537071,-0.356687564859685,0.201,0.146,1
"ASXL2",0.0689539548666594,-0.534161180328282,0.468,0.325,1
"UST",0.0696841025220262,-0.531414342944071,0.313,0.228,1
"NNMT",0.0704919027041874,-1.14598486694448,0.204,0.208,1
"GMDS",0.0706623952385968,-0.974468097135306,0.33,0.307,1
