"","Normal_p_val","Normal_avg_log2FC","Normal_pct.1","Normal_pct.2","Normal_p_val_adj","Chemo_p_val","Chemo_avg_log2FC","Chemo_pct.1","Chemo_pct.2","Chemo_p_val_adj","max_pval","minimump_p_val"
"ANKRD1",1.78026698218703e-10,0.816936773907734,0.488,0.243,6.51595518150275e-06,1.46282643671462e-119,1.26020944463187,0.75,0.31,5.35409104101919e-115,1.78026698218703e-10,2.92565287342922e-119
"FGF12",1.20353031240228e-19,1.14890624751792,0.68,0.296,4.40504129642357e-15,4.98516186782589e-119,1.05250305776287,0.826,0.316,1.82461909524295e-114,1.20353031240228e-19,9.97032373565186e-119
"MB",6.80170189603317e-19,0.568057049641097,0.792,0.472,2.4894909109671e-14,8.95069031335351e-118,1.28988243398028,0.897,0.477,3.27604216159052e-113,6.80170189603317e-19,1.79013806267076e-117
"MTUS2",2.59097851026195e-22,1.32693334188826,0.528,0.18,9.48324044540976e-18,7.58700906078311e-117,1.26331208122462,0.668,0.238,2.77692118633722e-112,2.59097851026195e-22,1.51740181215663e-116
"PCDH7",1.52241288698084e-28,1.78002522360659,0.616,0.206,5.57218340763856e-24,1.56796183174187e-116,1.58280311739495,0.675,0.247,5.73889710035841e-112,1.52241288698084e-28,3.13592366348377e-116
"PPM1K",4.01807985008178e-23,1.44414063735188,0.64,0.274,1.47065740592843e-18,9.65251628217186e-115,1.29907144001266,0.713,0.292,3.53291748443772e-110,4.01807985008178e-23,1.93050325643433e-114
"CKMT2",5.38928885538501e-21,1.30291006524701,0.624,0.256,1.97253361395947e-16,1.99774522931137e-114,1.29641654880213,0.694,0.272,7.31194731380256e-110,5.38928885538501e-21,3.99549045862275e-114
"FYB2",1.49849815742429e-15,1.09689549648143,0.448,0.168,5.48465310598863e-11,2.64152917915982e-114,1.29380418401389,0.603,0.21,9.66826094864285e-110,1.49849815742429e-15,5.28305835831965e-114
"CCSER1",1.75954217966977e-24,1.78302946452962,0.584,0.206,6.44010033180931e-20,2.52145671122329e-113,1.48797493098337,0.73,0.291,9.22878370874838e-109,1.75954217966977e-24,5.04291342244673e-113
"PXDNL",1.99153918048785e-17,1.54503877925816,0.632,0.309,7.28923255450357e-13,2.85449468527459e-113,1.57040988989725,0.762,0.337,1.04477359975735e-108,1.99153918048785e-17,5.70898937054934e-113
"FHL2",4.00950992732644e-35,1.99233060191658,0.848,0.366,1.46752072850075e-30,5.45836784158752e-113,1.263021666554,0.823,0.375,1.99781721369945e-108,4.00950992732644e-35,1.09167356831748e-112
"MYL3",3.85875413876808e-29,1.18128535848797,0.792,0.356,1.4123426023305e-24,4.81055503766772e-112,1.11668896211429,0.807,0.348,1.76071124933676e-107,3.85875413876808e-29,9.6211100753352e-112
"PLN",4.76576784506003e-22,1.08783241295684,0.712,0.325,1.74431868897042e-17,7.86904849305684e-112,1.18551731860595,0.75,0.315,2.88015043894373e-107,4.76576784506003e-22,1.57380969861139e-111
"TNNI3",3.94415745006159e-21,0.602618391741222,0.824,0.5,1.44360106829704e-16,9.32720877794421e-112,1.22057004755288,0.904,0.522,3.41385168481536e-107,3.94415745006159e-21,1.86544175558883e-111
"MYLK3",5.35827570426255e-27,1.49026115678985,0.56,0.178,1.96118249051714e-22,1.78404908332422e-111,1.21654639602534,0.652,0.238,6.52979804987498e-107,5.35827570426255e-27,3.56809816664849e-111
"PDK4",0.000411910726491843,0.679605615295092,0.568,0.51,1,1.8856015267592e-111,1.48914246872036,0.786,0.372,6.90149014809137e-107,0.000411910726491843,3.77120305351838e-111
"ACTN2",4.90858956657784e-24,1.05568554380632,0.648,0.243,1.79659286726316e-19,2.30071097595794e-109,1.11957444734111,0.741,0.281,8.42083224310365e-105,4.90858956657784e-24,4.60142195191594e-109
"THSD4",1.17687955476516e-12,1.03431471206956,0.552,0.263,4.30749685839597e-08,4.70531529421073e-109,1.3019886805849,0.744,0.3,1.72219245083407e-104,1.17687955476516e-12,9.41063058842135e-109
"HAND2-AS1",3.25574938692416e-21,1.4893840696734,0.576,0.226,1.19163683310811e-16,1.41574159914904e-107,1.19783832607225,0.664,0.254,5.18175582704542e-103,3.25574938692416e-21,2.83148319829806e-107
"ANO5",2.24794076112607e-16,1.0446635325167,0.496,0.196,8.22768797979752e-12,3.52429367256213e-107,1.2455741066127,0.638,0.237,1.28992672709446e-102,2.24794076112607e-16,7.04858734512426e-107
"TMEM178B",6.11561187997088e-24,1.49776210693886,0.544,0.189,2.23837510418814e-19,3.60616373750427e-106,1.31210007433206,0.656,0.237,1.31989198956394e-101,6.11561187997088e-24,7.21232747500855e-106
"RALYL",4.4449442929881e-11,1.14921145488843,0.344,0.132,1.62689406067657e-06,7.93247370854084e-106,1.30027920454185,0.614,0.218,2.90336470206303e-101,4.4449442929881e-11,1.58649474170817e-105
"SPHKAP",3.14620367124373e-31,1.794230777623,0.56,0.167,1.15154200571192e-26,8.88860810989837e-105,1.16571606397183,0.64,0.231,3.2533194543039e-100,3.14620367124373e-31,1.7777216219797e-104
"ADPRHL1",1.79750664254295e-18,1.02873553934282,0.48,0.177,6.57905406237144e-14,3.50368743462285e-104,1.13964388363952,0.621,0.235,1.28238463794631e-99,1.79750664254295e-18,7.00737486924569e-104
"ANK2",1.43442028338725e-21,1.60606347492099,0.624,0.257,5.25012167922567e-17,5.24183423946725e-104,1.38614019651071,0.763,0.342,1.91856374998741e-99,1.43442028338725e-21,1.04836684789344e-103
"PDZRN3",5.0694151831594e-24,1.91298261357159,0.608,0.236,1.85545665118817e-19,1.52248009459821e-103,1.32023385514183,0.72,0.292,5.57242939423889e-99,5.0694151831594e-24,3.04496018919641e-103
"NCAM1",1.51873733056015e-26,1.49723409248429,0.616,0.217,5.55873050358322e-22,2.12142677932559e-103,1.18344310045152,0.694,0.273,7.76463415500961e-99,1.51873733056015e-26,4.24285355865125e-103
"TMEM71",6.29463100340576e-15,0.957492065501946,0.528,0.229,2.30389789355654e-10,6.48029536942172e-103,1.25586622758619,0.682,0.277,2.37185290816204e-98,6.29463100340576e-15,1.29605907388434e-102
"TBC1D4",9.18994360029597e-08,0.913527529240713,0.6,0.401,0.00336361125714433,8.14681248662449e-102,1.32854767363073,0.736,0.328,2.98181483822943e-97,9.18994360029597e-08,1.6293624973249e-101
"GALNT17",2.66501338960662e-23,1.30114168761947,0.528,0.181,9.75421550729921e-19,2.32967765328313e-101,1.23807436554237,0.607,0.228,8.52685317878159e-97,2.66501338960662e-23,4.65935530656621e-101
"MLIP-AS1",1.77965072993121e-24,1.49195084477556,0.512,0.168,6.51369963662121e-20,5.027135104173e-101,1.1765956748646,0.602,0.224,1.83998171947836e-96,1.77965072993121e-24,1.0054270208346e-100
"LMOD2",2.97727788390674e-18,0.878267432731498,0.52,0.199,1.0897134782887e-13,1.35114503754011e-100,1.18968023438021,0.635,0.249,4.94532595190056e-96,2.97727788390674e-18,2.70229007508021e-100
"C15orf41",8.58975840613057e-23,1.71327326675977,0.632,0.258,3.14393747422785e-18,1.43112459949393e-100,1.29559988590852,0.734,0.312,5.23805914660772e-96,8.58975840613057e-23,2.86224919898784e-100
"SLC8A1",3.36542278032254e-17,1.58949031190471,0.736,0.494,1.23177839182585e-12,2.92178321970252e-100,1.25642887879112,0.873,0.481,1.06940187624332e-95,3.36542278032254e-17,5.84356643940501e-100
"SLC25A4",1.05683177566682e-22,0.905944190445039,0.768,0.38,3.86810998211812e-18,3.92770952986668e-100,1.07707905550417,0.777,0.356,1.4375809650265e-95,1.05683177566682e-22,7.85541905973344e-100
"MYL2",2.60097913199269e-28,0.779781651034035,0.936,0.723,9.51984372100645e-24,2.47487207520647e-99,1.04570013998891,0.953,0.685,9.05827928246321e-95,2.60097913199269e-28,4.94974415041302e-99
"PPARGC1A",6.13223660085738e-23,1.58726314130475,0.52,0.179,2.24445991827981e-18,4.76237277694359e-99,1.45519570160082,0.616,0.232,1.74307606008912e-94,6.13223660085738e-23,9.52474555388714e-99
"CACNB2",2.04923064402562e-19,1.72661086849911,0.632,0.29,7.50038908019817e-15,7.53017163896679e-99,1.14864499048807,0.774,0.323,2.75611812157823e-94,2.04923064402562e-19,1.50603432779335e-98
"ACTC1",1.50317600820351e-25,0.547589483907855,0.816,0.416,5.50177450762566e-21,4.08619325299825e-98,1.10978143533478,0.814,0.395,1.49558759252989e-93,1.50317600820351e-25,8.1723865059964e-98
"PPP1R9A",2.01819833520492e-24,1.49998771226499,0.544,0.179,7.38680772668351e-20,1.3991502020549e-97,1.15518159469061,0.633,0.246,5.12102965454113e-93,2.01819833520492e-24,2.79830040410983e-97
"CRYAB",4.85499859739754e-22,0.645825918590026,0.824,0.516,1.77697803663347e-17,4.37439411742512e-97,1.13657538635285,0.845,0.465,1.60107199091877e-92,4.85499859739754e-22,8.74878823485018e-97
"PDLIM5",1.38048204900276e-13,1.98053549191648,0.728,0.586,5.05270234755502e-09,1.53452422007717e-96,1.30260551026122,0.875,0.565,5.61651209790445e-92,1.38048204900276e-13,3.06904844015431e-96
"STK33",2.22830266021082e-25,1.21767463855624,0.552,0.175,8.15581056663761e-21,3.20238457294969e-96,1.08698169758849,0.598,0.227,1.17210477754531e-91,2.22830266021082e-25,6.40476914589937e-96
"LINC01505",4.90674871516468e-13,1.03579733523591,0.432,0.173,1.79591909723743e-08,1.67318243192237e-95,1.23886222051671,0.61,0.232,6.12401501907907e-91,4.90674871516468e-13,3.34636486384472e-95
"PRKAA2",1.95842714996136e-18,1.21703825207702,0.512,0.192,7.16803921157356e-14,4.46003580298616e-94,1.11750039811675,0.628,0.249,1.63241770425097e-89,1.95842714996136e-18,8.92007160597245e-94
"ANK3",1.3958956508544e-21,1.43306424543306,0.624,0.245,5.10911767169221e-17,9.01230958231408e-94,1.13181435082022,0.732,0.319,3.29859543022278e-89,1.3958956508544e-21,1.80246191646281e-93
"RNF150",3.49989084327524e-15,1.50661477930228,0.576,0.261,1.28099504754717e-10,2.72806709260748e-93,1.22952122296477,0.675,0.29,9.98499836565262e-89,3.49989084327524e-15,5.45613418521501e-93
"LINC02269",2.71228048168006e-11,1.21751766085268,0.352,0.137,9.92721779099719e-07,6.49669850035672e-93,1.59192923681889,0.477,0.16,2.37785661811556e-88,2.71228048168006e-11,1.29933970007133e-92
"VWC2",1.99799367297555e-27,1.42312759911909,0.48,0.142,7.31285664245783e-23,9.58714658377931e-93,1.26289789207281,0.543,0.203,3.50899152112906e-88,1.99799367297555e-27,1.91742931675589e-92
"TENM2",1.33973357669711e-29,1.72019576787656,0.608,0.196,4.90355886406909e-25,3.17565369210852e-91,1.28564570274335,0.626,0.245,1.16232100784864e-86,1.33973357669711e-29,6.35130738421713e-91
"PDE3A",8.71341917038594e-19,1.74054987812356,0.752,0.446,3.18919855055296e-14,4.21001213364909e-91,1.0866317460999,0.845,0.428,1.5409065410369e-86,8.71341917038594e-19,8.42002426729814e-91
"SLC16A7",4.73220224542012e-17,1.54919530814492,0.656,0.332,1.73203334384622e-12,1.7493617055923e-90,1.1847193296514,0.748,0.35,6.40283877863838e-86,4.73220224542012e-17,3.49872341118459e-90
"AC018464.1",1.95607346152607e-18,1.25713393449503,0.488,0.179,7.15942447653157e-14,2.73446727849566e-90,1.07515390107083,0.619,0.236,1.0008423686022e-85,1.95607346152607e-18,5.46893455699138e-90
"KCND3",8.80384346341356e-12,0.608769069573721,0.392,0.155,3.222294746044e-07,5.88617493857189e-90,1.13780439895878,0.593,0.232,2.1543988892667e-85,8.80384346341356e-12,1.1772349877144e-89
"RCAN2",1.91487384229261e-10,1.05046453992236,0.576,0.305,7.00862975017519e-06,7.89513913487414e-90,1.17716241279552,0.758,0.346,2.88969987475528e-85,1.91487384229261e-10,1.57902782697482e-89
"TACC2",1.75421127930687e-18,1.29138005509002,0.64,0.301,6.42058870339107e-14,1.45335545143211e-89,1.17487434540719,0.706,0.322,5.31942628778668e-85,1.75421127930687e-18,2.9067109028642e-89
"POPDC2",9.70926875127315e-18,1.05633189419882,0.52,0.205,3.55368945565349e-13,2.40716159033868e-89,0.979474196854773,0.609,0.236,8.81045213679859e-85,9.70926875127315e-18,4.8143231806773e-89
"OBSCN",8.58743934280398e-19,1.16905414964909,0.504,0.192,3.14308867385968e-14,5.43641547899618e-89,0.985814609474819,0.649,0.261,1.98978242946739e-84,8.58743934280398e-19,1.08728309579925e-88
"MYOM3",1.11655661728612e-15,1.15558656613914,0.416,0.153,4.08670887492891e-11,8.80387335031704e-89,1.08886194944376,0.584,0.227,3.22230568494954e-84,1.11655661728612e-15,1.76077467006343e-88
"CSRP3",1.56734304819308e-14,0.58091736180842,0.576,0.268,5.73663229069148e-10,2.68806774329538e-87,1.07649542767565,0.694,0.307,9.83859674723543e-83,1.56734304819308e-14,5.37613548659085e-87
"GAS2",1.08764282364153e-08,0.62653255175913,0.432,0.214,0.000398088149881037,5.62938153393923e-87,1.12547885353,0.607,0.245,2.0604099352371e-82,1.08764282364153e-08,1.12587630678786e-86
"WNK2",6.52961636957757e-22,1.169164746098,0.512,0.174,2.38990488742909e-17,2.00212367172204e-86,1.02438986591126,0.579,0.227,7.32797285086983e-82,6.52961636957757e-22,4.00424734344414e-86
"PACRG",2.89121914352435e-13,1.19266103698559,0.464,0.192,1.05821511872135e-08,2.56928565053645e-86,1.06132159852505,0.637,0.252,9.40384240952847e-82,2.89121914352435e-13,5.13857130107297e-86
"DES",5.98967560217213e-15,0.769387117133253,0.664,0.35,2.19228116715102e-10,2.61793204945045e-86,1.10544913200518,0.715,0.328,9.58189309419358e-82,5.98967560217213e-15,5.23586409890097e-86
