p_val,avg_log2FC,pct.1,pct.2,p_val_adj,GeneName
2.84E-11,-0.521416129,0.498,0.665,8.31E-07,TTN
4.89E-16,-0.527094832,0.701,0.806,1.43E-11,ADAMTS9-AS2
4.80E-09,-0.543325318,0.194,0.327,1.40E-04,ADAMTS1
2.95E-15,-0.554900296,0.301,0.518,8.62E-11,PTPRM
3.41E-10,-0.556294878,0.544,0.625,9.98E-06,A2M
2.38E-15,-0.567483027,0.346,0.525,6.97E-11,CDK14
8.77E-13,-0.572543902,0.627,0.709,2.56E-08,INPP4B
0.004137961,-0.577088399,0.436,0.474,1,SGIP1
1.53E-13,-0.590510051,0.466,0.617,4.49E-09,COL4A2
2.61E-18,-0.629134691,0.314,0.527,7.64E-14,MIR4435-2HG
1.70E-19,-0.63055353,0.652,0.779,4.98E-15,CAMK2D
2.45E-09,-0.649018825,0.493,0.591,7.15E-05,SYNPO2
2.14E-16,-0.667720126,0.358,0.529,6.25E-12,FGD4
2.21E-20,-0.713967436,0.252,0.467,6.47E-16,ARID5B
6.11E-28,-0.722469531,0.218,0.504,1.79E-23,RFTN1
5.45E-20,-0.726149478,0.142,0.365,1.59E-15,OSMR
1.25E-13,-0.737741518,0.152,0.334,3.64E-09,LINC01091
2.18E-18,-0.815611781,0.434,0.599,6.38E-14,COL4A1
2.00E-28,-0.843339915,0.297,0.566,5.85E-24,FILIP1
1.11E-26,-0.85513332,0.365,0.592,3.25E-22,PALM2-AKAP2
2.11E-34,-0.912967384,0.681,0.8,6.16E-30,NBEAL1
1.56E-27,-0.939543165,0.686,0.852,4.55E-23,PLCL1
4.15E-40,-1.05615209,0,0.332,1.21E-35,XIST
