p_val,avg_log2FC,pct.1,pct.2,p_val_adj,GeneName
4.15E-26,-0.290218209,0.53,0.708,1.21E-21,ST3GAL1
4.34E-19,-0.290158988,0.195,0.345,1.27E-14,ZDHHC14
3.29E-28,-0.289429814,0.427,0.624,9.62E-24,KIF1B
1.26E-31,-0.288766583,0.053,0.224,3.67E-27,NTN1
9.36E-26,-0.287236314,0.349,0.546,2.74E-21,DPH6
8.14E-26,-0.285620052,0.861,0.925,2.38E-21,ACTN2
2.81E-23,-0.284447491,0.21,0.378,8.21E-19,AL592183.1
3.05E-21,-0.284371345,0.396,0.554,8.92E-17,ATF7IP2
4.47E-19,-0.283303062,0.533,0.675,1.31E-14,NRP1
5.50E-13,-0.282078955,0.152,0.261,1.61E-08,BDNF
1.89E-31,-0.282060287,0.232,0.446,5.53E-27,CUL4A
9.68E-27,-0.28185907,0.581,0.768,2.83E-22,COG5
7.64E-31,-0.281095246,0.492,0.683,2.23E-26,ZNF106
8.34E-33,-0.280417665,0.717,0.841,2.44E-28,VCL
0.00169008,-0.279232803,0.141,0.181,1,SH3BGR
4.12E-12,-0.277952941,0.291,0.403,1.21E-07,STK38L
6.72E-29,-0.27783268,0.03,0.178,1.97E-24,AC019211.1
1.22E-22,-0.2771714,0.425,0.612,3.56E-18,NAALADL2
3.84E-25,-0.276615831,0.697,0.845,1.12E-20,MTUS2
1.67E-21,-0.275805888,0.111,0.258,4.88E-17,LINC01880
4.57E-11,-0.274700629,0.855,0.951,1.34E-06,DMD
1.86E-21,-0.271958607,0.224,0.397,5.45E-17,EXT1
8.92E-26,-0.271683246,0.141,0.317,2.61E-21,AL078604.4
2.21E-18,-0.271194871,0.507,0.673,6.46E-14,MSRB3
3.78E-21,-0.271129234,0.197,0.36,1.10E-16,CNKSR3
7.98E-27,-0.270965319,0.888,0.963,2.33E-22,CTNNA3
1.01E-32,-0.270793663,0.618,0.815,2.96E-28,KTN1
3.19E-20,-0.270511415,0.316,0.48,9.31E-16,ABHD18
2.34E-19,-0.269286724,0.239,0.395,6.84E-15,TSC22D2
4.00E-23,-0.269173349,0.214,0.391,1.17E-18,SLC38A2
8.31E-30,-0.267809267,0.186,0.387,2.43E-25,AGPAT3
4.77E-27,-0.266872538,0.797,0.927,1.39E-22,DTNA
1.46E-19,-0.266335055,0.272,0.435,4.26E-15,CDC14B
9.48E-08,-0.2661113,0.608,0.702,0.002771768,GBE1
8.41E-23,-0.265820349,0.758,0.879,2.46E-18,KANK1
3.03E-26,-0.265796421,0.18,0.369,8.87E-22,ETV1
0.349688735,-0.265131088,0.658,0.728,1,MYPN
1.63E-28,-0.264520891,0.146,0.338,4.78E-24,GFOD1
3.47E-19,-0.263512614,0.131,0.277,1.01E-14,TENM3
1.08E-22,-0.262717028,0.299,0.481,3.15E-18,AC011346.1
2.78E-22,-0.262588405,0.08,0.223,8.12E-18,TOX
6.41E-30,-0.262470461,0.732,0.858,1.87E-25,MACF1
9.88E-33,-0.261654524,0.101,0.299,2.89E-28,PER3
2.05E-23,-0.26096732,0.226,0.405,6.00E-19,PPARA
1.24E-19,-0.260570616,0.424,0.569,3.61E-15,MPP3
1.98E-21,-0.260130819,0.155,0.313,5.78E-17,ACTN4
7.41E-28,-0.259769024,0.157,0.346,2.17E-23,AC104596.1
1.36E-19,-0.259695077,0.464,0.622,3.99E-15,VWC2
2.17E-21,-0.259406904,0.521,0.678,6.35E-17,SRL
6.78E-19,-0.259228448,0.689,0.823,1.98E-14,AC090348.1
3.67E-29,-0.259030848,0.12,0.305,1.07E-24,GRK4
4.03E-20,-0.258961365,0.679,0.822,1.18E-15,HDAC9
7.97E-23,-0.258086767,0.193,0.362,2.33E-18,EPB41L4B
4.78E-23,-0.257971145,0.213,0.384,1.40E-18,RHOBTB1
2.53E-26,-0.257907149,0.266,0.464,7.41E-22,CCND2
9.53E-28,-0.257762991,0.317,0.525,2.79E-23,SHPRH
2.09E-06,-0.257137867,0.238,0.309,0.060983468,AC116362.1
9.50E-26,-0.254792553,0.734,0.861,2.78E-21,SLC25A36
2.76E-21,-0.253761147,0.728,0.9,8.06E-17,CCSER1
2.96E-14,-0.253695529,0.63,0.759,8.67E-10,BCO2
1.04E-17,-0.25362887,0.404,0.554,3.05E-13,PDE3B
3.93E-24,-0.252467187,0.164,0.34,1.15E-19,PTPN1
1.87E-14,-0.252096913,0.39,0.542,5.47E-10,IQCJ-SCHIP1
1.91E-28,-0.252000731,0.562,0.739,5.57E-24,CDC42BPA
6.00E-17,-0.251070376,0.206,0.352,1.75E-12,AC106793.1
3.85E-22,-0.250735221,0.21,0.384,1.12E-17,MPRIP
5.32E-24,-0.250397679,0.91,0.971,1.56E-19,CACNA1C
1.12E-20,-0.25017606,0.266,0.436,3.26E-16,LAMA4
4.85E-06,-0.250062816,0.491,0.547,0.141841009,AC117464.1
1.23E-54,0.250664167,0.196,0.044,3.60E-50,HOPX
2.18E-17,0.250829534,0.373,0.246,6.38E-13,PRDX6
1.65E-16,0.251042078,0.911,0.969,4.81E-12,SORBS1
2.62E-16,0.251054645,0.45,0.334,7.65E-12,ARHGAP17
1.96E-14,0.252035918,0.536,0.431,5.74E-10,TMEM116
4.54E-20,0.252515824,0.205,0.097,1.33E-15,RPS19
4.10E-20,0.252638636,0.274,0.148,1.20E-15,PHPT1
2.59E-20,0.25334393,0.284,0.156,7.57E-16,NDUFB7
1.26E-28,0.253675216,0.233,0.098,3.67E-24,ELOB
7.44E-11,0.254562538,0.917,0.972,2.18E-06,PDE3A
2.27E-22,0.254686108,0.376,0.226,6.65E-18,NDUFB9
1.46E-05,0.254747121,0.571,0.525,0.426446283,DSTN
9.82E-16,0.254826963,0.488,0.371,2.87E-11,PLAG1
3.84E-28,0.255213363,0.334,0.175,1.12E-23,SLC19A2
1.97E-26,0.255568475,0.269,0.128,5.76E-22,NDUFA3
1.62E-16,0.255887302,0.223,0.121,4.74E-12,CHCHD2
1.97E-10,0.256125154,0.494,0.417,5.76E-06,CMSS1
0.01177899,0.256475738,0.145,0.119,1,LAMB2
1.12E-13,0.257020726,0.57,0.479,3.27E-09,GJA1
1.02E-10,0.257086944,0.845,0.857,2.98E-06,MEF2A
6.92E-08,0.257392236,0.547,0.495,0.002023637,PLPP1
5.59E-15,0.258008712,0.221,0.124,1.63E-10,RPS9
9.74E-04,0.258135425,0.749,0.721,1,ARHGAP24
9.52E-26,0.259628521,0.163,0.058,2.78E-21,PPM1E
9.38E-10,0.260266269,0.941,0.977,2.74E-05,SORBS2
4.62E-15,0.260589918,0.244,0.143,1.35E-10,CTSD
6.47E-13,0.261034295,0.833,0.861,1.89E-08,CELF2
6.03E-13,0.261531779,0.526,0.436,1.76E-08,ZFPM2-AS1
4.36E-24,0.261755696,0.362,0.211,1.27E-19,NDUFC1
2.52E-13,0.264806911,0.246,0.15,7.37E-09,RPS6
6.25E-38,0.26494985,0.197,0.062,1.83E-33,RPS21
9.48E-08,0.266562194,0.713,0.745,0.002770949,MLIP-AS1
3.36E-10,0.266899265,0.622,0.556,9.82E-06,SELENOW
1.85E-13,0.26727643,0.26,0.162,5.41E-09,RPL7
3.47E-07,0.267796977,0.734,0.783,0.010132925,PPM1L
4.43E-24,0.26780791,0.335,0.187,1.30E-19,MRPL41
1.04E-23,0.268034984,0.29,0.152,3.03E-19,OAZ1
1.15E-19,0.269938504,0.404,0.262,3.36E-15,STARD13-AS
1.49E-16,0.273561786,0.215,0.116,4.35E-12,UBB
1.86E-04,0.274503646,0.609,0.61,1,CADPS
6.49E-20,0.274552887,0.223,0.111,1.90E-15,RPL29
4.56E-06,0.275601142,0.749,0.806,0.133245175,PCDH7
1.04E-21,0.276027173,0.3,0.167,3.05E-17,CYC1
9.63E-07,0.278578978,0.627,0.59,0.028157719,MGST3
2.96E-36,0.278655628,0.414,0.214,8.66E-32,CALCOCO2
3.05E-11,0.278811382,0.445,0.35,8.91E-07,ATP5F1B
6.21E-18,0.279799625,0.494,0.377,1.81E-13,TCP11L2
5.46E-18,0.280465536,0.364,0.238,1.60E-13,AC013640.1
1.68E-21,0.281198812,0.51,0.367,4.92E-17,UBE2B
1.19E-14,0.281720814,0.499,0.401,3.47E-10,BCKDHB
1.55E-25,0.283007384,0.276,0.137,4.53E-21,NDUFB11
7.75E-18,0.283130232,0.632,0.563,2.27E-13,MTFR1
5.43E-14,0.283433449,0.687,0.672,1.59E-09,MARK3
1.34E-24,0.284112217,0.275,0.139,3.91E-20,DBI
7.50E-22,0.28451211,0.221,0.106,2.19E-17,UBA52
3.25E-42,0.284878197,0.346,0.15,9.51E-38,TMEM159
2.49E-22,0.286614371,0.307,0.17,7.27E-18,AK1
4.99E-12,0.288935605,0.307,0.21,1.46E-07,RPS3A
2.67E-56,0.289009072,0.212,0.05,7.79E-52,GPX3
5.61E-29,0.289397482,0.326,0.167,1.64E-24,COX17
1.12E-19,0.290228619,0.862,0.934,3.27E-15,CDH2
4.17E-41,0.29044029,0.407,0.198,1.22E-36,RRAD
5.56E-44,0.290671544,0.238,0.077,1.62E-39,SELENOP
5.21E-28,0.291416059,0.345,0.184,1.52E-23,YBX1
5.58E-34,0.291586373,0.184,0.06,1.63E-29,S100A6
7.33E-31,0.292985444,0.306,0.146,2.14E-26,MICOS10
1.09E-19,0.29622545,0.852,0.859,3.19E-15,ATP2A2
5.63E-15,0.296909362,0.499,0.377,1.65E-10,EDIL3
2.60E-27,0.297854126,0.402,0.235,7.61E-23,LINC00513
4.33E-20,0.298127025,0.622,0.53,1.26E-15,CLCN3
2.24E-17,0.298835965,0.269,0.155,6.54E-13,RPL15
4.34E-05,0.299244815,0.175,0.128,1,LGALS3BP
4.92E-40,0.300906679,0.283,0.113,1.44E-35,G0S2
6.57E-27,0.302477329,0.259,0.122,1.92E-22,RPS15A
1.74E-14,0.302946931,0.193,0.103,5.08E-10,FTL
1.24E-23,0.30502197,0.371,0.224,3.63E-19,NDUFB10
5.81E-29,0.306617531,0.33,0.172,1.70E-24,NDUFA12
5.21E-37,0.306829477,0.407,0.211,1.52E-32,HEY2
8.78E-25,0.310051927,0.404,0.244,2.57E-20,PGAM2
5.94E-22,0.311178005,0.796,0.879,1.74E-17,TACC2
1.17E-28,0.311860428,0.203,0.079,3.41E-24,CD151
1.01E-29,0.313919963,0.441,0.258,2.96E-25,CD99
1.83E-25,0.314507625,0.647,0.5,5.35E-21,FOXN3
1.78E-30,0.315337616,0.444,0.265,5.21E-26,MRPL33
4.79E-40,0.31542306,0.275,0.107,1.40E-35,ADI1
1.55E-13,0.315623898,0.409,0.304,4.53E-09,ATP5F1D
1.17E-08,0.319163582,0.87,0.89,3.43E-04,PTPRG
7.76E-23,0.319288205,0.294,0.159,2.27E-18,RPS27A
0.348697854,0.319466766,0.161,0.157,1,APOA1
5.79E-23,0.321089659,0.266,0.137,1.69E-18,RPL17
8.43E-39,0.321464033,0.332,0.149,2.46E-34,CRIP2
3.57E-22,0.321765627,0.326,0.189,1.04E-17,SOD1
6.75E-31,0.321766886,0.353,0.186,1.97E-26,ATP5MC2
1.08E-25,0.323691446,0.475,0.319,3.17E-21,SUMF1
6.47E-20,0.323736525,0.263,0.143,1.89E-15,RPL7A
2.91E-19,0.324567925,0.253,0.137,8.50E-15,H3F3A
4.95E-14,0.324730136,0.269,0.168,1.45E-09,RPS2
8.53E-09,0.325046462,0.631,0.645,2.49E-04,DYNC1I1
6.58E-48,0.327701919,0.3,0.111,1.92E-43,AC100803.4
4.74E-77,0.327868343,0.223,0.039,1.38E-72,RPS10
5.52E-32,0.328193987,0.287,0.132,1.61E-27,ATP5MF
4.03E-19,0.32966534,0.454,0.318,1.18E-14,ATP5PO
