"","Normal_p_val","Normal_avg_log2FC","Normal_pct.1","Normal_pct.2","Normal_p_val_adj","Chemo_p_val","Chemo_avg_log2FC","Chemo_pct.1","Chemo_pct.2","Chemo_p_val_adj","max_pval","minimump_p_val"
"GAS2",7.83908721283509e-80,1.1587956570912,0.752,0.19,2.86918431076977e-75,4.13700473563341e-24,1.03947508495024,0.724,0.258,1.51418510328918e-19,4.13700473563341e-24,1.56781744256701e-79
"AL158038.1",1.07744370851048e-79,1.22845412827242,0.605,0.125,3.94355171751919e-75,2.82083519789636e-14,0.55505965368042,0.449,0.162,1.03245389078205e-09,2.82083519789636e-14,2.15488741702098e-79
"AC093879.1",1.55436688047396e-79,0.953109246229638,0.638,0.137,5.68913821922273e-75,4.23726359918217e-22,0.642262211333361,0.602,0.2,1.55088084993667e-17,4.23726359918217e-22,3.10873376094791e-79
"CYP2J2",4.86645377215109e-79,0.992989002477727,0.59,0.119,1.78117074514502e-74,1.01392939079053e-33,0.946093172264887,0.694,0.202,3.71108296323243e-29,1.01392939079053e-33,9.73290754430227e-79
"RCAN2",7.20978286369946e-79,1.70849356416847,0.886,0.281,2.63885262594264e-74,4.9129350357164e-28,1.20350538278922,0.898,0.36,1.79818335242256e-23,4.9129350357164e-28,1.44195657273989e-78
"GMPR",7.91945493741922e-79,0.890973242058971,0.629,0.136,2.89859970164481e-74,4.76650039786664e-24,0.57011424785749,0.582,0.184,1.74458681062317e-19,4.76650039786664e-24,1.58389098748387e-78
"MYOCD",8.82936944040621e-79,1.29427182129705,0.638,0.141,3.23163750888308e-74,7.75924491164797e-16,0.755386708341815,0.592,0.243,2.83996123011227e-11,7.75924491164797e-16,1.76587388808125e-78
"PRDM16",1.13291844498025e-78,1.00834068475943,0.671,0.149,4.1465948004722e-74,2.07786254687319e-18,0.707841640442086,0.643,0.243,7.60518470781057e-14,2.07786254687319e-18,2.26583688996052e-78
"MPP3",1.51610537526123e-78,1.28186431678737,0.624,0.135,5.54909728399362e-74,3.60273614967157e-12,0.582997048644528,0.531,0.224,1.31863745814129e-07,3.60273614967157e-12,3.03221075052246e-78
"MLF1",2.40039764456587e-78,1.03826789222502,0.667,0.153,8.78569541887556e-74,6.91967101062756e-34,1.28663618539107,0.776,0.244,2.53266878659979e-29,6.91967101062756e-34,4.8007952891317e-78
"KIF21A",3.105301930911e-78,1.12428476628404,0.733,0.178,1.13657155973273e-73,7.05565115389313e-25,0.950618533786396,0.745,0.276,2.58243887883642e-20,7.05565115389313e-25,6.21060386182204e-78
"PTPN3",3.95983708137123e-78,0.892388757408904,0.629,0.134,1.44933997015268e-73,2.84157641220774e-26,0.681272023826175,0.643,0.202,1.04004538263215e-21,2.84157641220774e-26,7.91967416274246e-78
"MITF",2.62145410923044e-77,1.45790248567321,0.852,0.262,9.59478418519434e-73,3.42562751728283e-23,1.04872660228771,0.827,0.355,1.25381392760069e-18,3.42562751728283e-23,5.24290821846089e-77
