"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TTN",1.24538838936934e-61,-0.492176369472564,0.987,0.997,3.64101749516019e-57
"MT-CO1",1.27163199970673e-61,0.856307515454602,0.882,0.761,3.71774331434258e-57
"MT-ND4L",2.85882103570565e-61,0.392147950211512,0.315,0.104,8.35804917998902e-57
"NDUFB3",3.22682953707017e-61,0.444867572006439,0.398,0.159,9.43395883457834e-57
"CD81",6.83889475893475e-61,0.582934206135484,0.385,0.149,1.99941927172216e-56
"RPL23A",2.28005306956524e-60,0.57742473796128,0.376,0.146,6.66596315418093e-56
"CKM",6.02181899288607e-60,0.693833774502566,0.811,0.625,1.76053900076017e-55
"LINC01151",7.7257444769493e-60,-0.711645944616792,0.23,0.519,2.2586986552809e-55
"SOS2",1.03899092467308e-59,-0.419805009086109,0.225,0.532,3.03759386737423e-55
"RNF207",1.14840111707265e-59,-0.414615025871278,0.289,0.587,3.3574655058736e-55
"OST4",2.5164374728284e-59,0.337274341353475,0.256,0.07,7.3570565955611e-55
"BSG",7.92329226138426e-59,0.88636940771521,0.793,0.657,2.3164537255383e-54
"EFCAB2",1.27550015958063e-58,-0.417008940007801,0.279,0.587,3.72905226654993e-54
"RPS29",2.85510593480659e-58,0.533563498653955,0.361,0.139,8.34718771100055e-54
"KIF13A",4.3361776757688e-58,-0.420187527592608,0.466,0.738,1.26772490528777e-53
"SH3RF2",5.02584252945387e-58,0.509287174706066,0.694,0.492,1.46935532191113e-53
"AHI1",1.00716010072807e-57,-0.433853554150928,0.378,0.664,2.94453327048858e-53
"LPP",1.07368619385293e-57,-0.380207521279095,0.877,0.948,3.13902895634844e-53
"CADPS2",1.09432284844211e-57,0.505245845184909,0.432,0.194,3.19936227970536e-53
"SLC25A4",1.19619009743054e-57,0.714264762285907,0.915,0.864,3.49718136884794e-53
"UQCRQ",1.36540157872534e-57,0.498776357099111,0.491,0.241,3.99188805556142e-53
"AC023494.1",1.6134969544615e-57,0.39170848962004,0.437,0.19,4.71721969606364e-53
"CD59",1.77302694508985e-56,0.511461088947204,0.318,0.113,5.18362157666468e-52
"RYR2",2.45976811115121e-56,0.458217078755104,0.959,0.99,7.19137804976168e-52
"GPX3",2.66543018565975e-56,0.289009071911971,0.212,0.05,7.79265169079485e-52
"MBOAT1",1.0446848618167e-55,0.331589529050204,0.295,0.096,3.05424066200731e-51
"RPL31",1.34078891647006e-55,0.454283527060425,0.391,0.164,3.91993047619186e-51
"HOPX",1.23186815009624e-54,0.250664167026662,0.196,0.044,3.60148972362138e-50
"DST",1.70517299902729e-53,-0.39285618859781,0.876,0.971,4.98524377995619e-49
"KLRD1",1.75852169782269e-53,-0.540806775065943,0.115,0.386,5.14121403575443e-49
"ATP1A2",1.82104985359379e-53,0.463429341793231,0.677,0.451,5.32402135196681e-49
"AL009177.1",2.15935075511974e-53,-0.409424801446219,0.147,0.424,6.31307786766806e-49
"FAM13C",2.827886607453e-53,0.344640241936421,0.267,0.083,8.26760928554958e-49
"RPL35A",7.19857569813152e-53,0.490213999489704,0.393,0.169,2.10457559110573e-48
"REEP1",5.59078143944296e-52,-0.390577389168805,0.251,0.531,1.63452086163554e-47
"RPLP2",3.24442558218327e-51,0.505918925721693,0.354,0.145,9.48540263207101e-47
"PHLDB2",4.22205691078406e-51,-0.426112188281195,0.596,0.816,1.23436055843683e-46
"COL23A1",6.16335172486562e-51,-0.515460709069912,0.193,0.462,1.80191751028171e-46
"RPL30",1.2113779681099e-49,0.540694860785986,0.354,0.149,3.5415846275661e-45
"FABP3",4.0390931259569e-49,0.567342085741069,0.78,0.643,1.18086926630476e-44
"RNPC3",5.16432329283879e-49,-0.351711623451103,0.397,0.662,1.50984155789435e-44
"RORA",6.45819641801665e-49,-0.456114671521213,0.325,0.593,1.88811830477135e-44
"BMPR1A",8.96791934005345e-49,-0.400286328912633,0.438,0.686,2.62186089825803e-44
"GPI",1.09448087857134e-48,-0.362794665380792,0.286,0.565,3.19982429659117e-44
"CACNA2D3",2.37496176587034e-48,0.663473620635031,0.688,0.583,6.94343821869852e-44
"RALYL",2.52601849966199e-48,-0.495588633020143,0.48,0.759,7.38506768561179e-44
"AC009264.1",4.51857382095623e-48,-0.432796523268392,0.406,0.66,1.32105024229476e-43
"AC100803.4",6.57753532090324e-48,0.327701918763977,0.3,0.111,1.92300822641927e-43
"AC093912.1",5.0001520779244e-47,-0.673796047004055,0.359,0.607,1.46184446150198e-42
"LRRC7",8.35533246137868e-47,0.401892927862818,0.275,0.096,2.44276499840867e-42
"POLR2L",9.14482571090501e-47,0.380682655101295,0.287,0.104,2.67358124484019e-42
"AASS",1.03914650684318e-46,0.362472094003359,0.454,0.226,3.03804872740672e-42
"TPT1",3.13501243166825e-46,0.866210389616579,0.604,0.402,9.16552234522531e-42
"EIF1",9.72634410232042e-46,0.631232918083787,0.509,0.292,2.8435939617544e-41
"RPL23",1.18194122975057e-45,0.508707132757743,0.357,0.157,3.45552337929877e-41
"CRIM1",1.32002668928442e-45,-0.421359532274649,0.195,0.456,3.85923002879193e-41
"MIR133A1HG",1.76098342602451e-45,0.504146311734314,0.721,0.581,5.14841114432526e-41
"UBL5",2.4056632473581e-45,0.355409459781638,0.272,0.098,7.03319706997614e-41
"LRRFIP1",1.68338892326794e-44,-0.325183300580551,0.663,0.842,4.92155585606615e-40
"UQCR11",3.12411704197217e-44,0.496961323351814,0.518,0.309,9.13366858390984e-40
"NDUFS5",3.49177744355847e-44,0.525731463029624,0.446,0.238,1.02085605339876e-39
"SELENOP",5.55501616528905e-44,0.290671543898157,0.238,0.077,1.62406452608391e-39
"SF1",6.1060417699013e-44,-0.308894628595406,0.131,0.378,1.78516237184834e-39
"RPS28",9.27552225172568e-44,0.495916746840611,0.34,0.149,2.71179168551452e-39
"COX5B",1.56271253682531e-43,0.540406653598595,0.641,0.431,4.56874637266247e-39
"TOMM7",2.01686272196832e-43,0.362612931492217,0.339,0.145,5.89649985394659e-39
"DCUN1D2",2.72383304871494e-43,-0.349028000331732,0.302,0.555,7.963398301223e-39
"FCHSD2",3.81570160242542e-43,-0.318927952143252,0.34,0.604,1.1155585204851e-38
"STAT3",9.67600558030402e-43,-0.391442489932424,0.165,0.419,2.82887699145768e-38
"RPL32",1.03560494791818e-42,0.474332569089313,0.327,0.14,3.02769462573358e-38
"TOM1L2",1.12644824512031e-42,-0.340562882444128,0.453,0.695,3.29328408943374e-38
"TMEM159",3.25241989921791e-42,0.2848781972115,0.346,0.15,9.50877481735349e-38
"RPL36",3.42144237595474e-42,0.336816467103688,0.226,0.073,1.00029289303413e-37
"VLDLR-AS1",9.08525693808371e-42,-0.389840921161979,0.427,0.663,2.65616571841815e-37
"PSMD8",1.94847603988282e-41,0.339712673939212,0.318,0.135,5.69656455020142e-37
"NMD3",1.98291073180013e-41,-0.40916059577917,0.246,0.488,5.79723781549085e-37
"MYL3",1.99421091820165e-41,0.554396310869151,0.925,0.895,5.83027504045435e-37
"RRAD",4.17076060281987e-41,0.290440289879425,0.407,0.198,1.21936356984042e-36
"RPS26",9.35431509245519e-41,0.364036691812973,0.254,0.094,2.7348275604302e-36
"RPS15",1.23212621996449e-40,0.437405065578148,0.29,0.118,3.60224421668818e-36
"CREB5",1.98585274178619e-40,-0.727497725797868,0.154,0.381,5.80583907588609e-36
"GMDS-DT",2.80015206264513e-40,-0.349446444034129,0.373,0.614,8.1865245703493e-36
"JPX",2.83558063976427e-40,-0.315234098013671,0.321,0.58,8.29010355841481e-36
"LINC02822",4.70391432983753e-40,-0.385930258466048,0.02,0.206,1.3752363934713e-35
"ADI1",4.78829144812639e-40,0.315423060217526,0.275,0.107,1.39990488777423e-35
"G0S2",4.92219576658882e-40,0.300906679058223,0.283,0.113,1.43905315431991e-35
"AKAP6",6.79240836603082e-40,-0.44873282571193,0.771,0.93,1.98582850989277e-35
"SYNDIG1",1.57210894592577e-39,-0.442890008356713,0.342,0.567,4.59621771430858e-35
"MTRNR2L12",1.62036891025033e-39,0.439226626344396,0.391,0.196,4.73731054600786e-35
"MGAT4C",2.29852950500844e-39,-0.450627213074554,0.18,0.411,6.71998086084267e-35
"RPL34",6.53592915670776e-39,0.417594742676693,0.331,0.149,1.91084424825508e-34
"STOX2",7.29423857280147e-39,0.486625515868503,0.537,0.345,2.13254358914424e-34
"CRIP2",8.426163723739e-39,0.321464032703808,0.332,0.149,2.46347322627233e-34
"PDE1A",1.13495280337186e-38,0.581920177827672,0.357,0.172,3.31814801593796e-34
"PFKFB2",1.54591937850631e-38,0.334018310476067,0.444,0.244,4.51964989500105e-34
"ISCU",2.30320035584926e-38,0.367256527733528,0.436,0.237,6.73363656036089e-34
"FUS",2.97970727109324e-38,-0.309297053316744,0.182,0.415,8.71147217776819e-34
"RPL35",3.06892925027003e-38,0.384753442662998,0.274,0.111,8.97232155608946e-34
"RPS21",6.24931192623214e-38,0.264949849745227,0.197,0.062,1.82704883475323e-33
"PLCL1",6.65666298224484e-38,-0.336840697062169,0.864,0.944,1.9461419894891e-33
"JAK2",9.4552871836356e-38,-0.639439002450471,0.266,0.496,2.7643477610077e-33
"UBA6-AS1",2.00544039175132e-37,-0.370534956880329,0.093,0.3,5.86310552932417e-33
"MIR100HG",2.11409401834223e-37,-0.351226018422956,0.326,0.557,6.18076527202534e-33
"SPHKAP",3.64553560886728e-37,-0.472019420166101,0.663,0.792,1.06580879060844e-32
"GPC5",3.81902805364542e-37,-0.646491640111842,0.136,0.354,1.11653104176377e-32
"KIAA0232",3.87861985338926e-37,-0.306595007534094,0.424,0.652,1.13395330033689e-32
"HEY2",5.21001946473844e-37,0.306829477459346,0.407,0.211,1.52320129071093e-32
"AC073475.1",6.57499546523515e-37,-0.427998472400584,0.359,0.58,1.92226567421615e-32
"OBSCN",6.7459591166663e-37,-0.424554142541922,0.684,0.843,1.97224860734856e-32
"CHCHD3",7.85973409573631e-37,-0.314169722890779,0.613,0.786,2.29787186022947e-32
"TMEM161B-AS1",8.5619048006246e-37,-0.340863646849012,0.43,0.655,2.50315848751061e-32
"PACS1",1.21842519930172e-36,-0.333112523465272,0.239,0.471,3.5621879126785e-32
"ATP5PF",1.35728753378326e-36,0.547794334812175,0.61,0.444,3.96816583376874e-32
"NCKAP5",1.39473962265457e-36,-0.352317566550355,0.613,0.81,4.0776607607929e-32
"RPS23",1.53940848769402e-36,0.550792611156157,0.369,0.19,4.50061465462223e-32
"CASZ1",1.55436828487384e-36,-0.340939897214553,0.442,0.658,4.54435111765715e-32
"HS6ST3",2.46960956136889e-36,0.761686044052269,0.35,0.175,7.22015051361808e-32
"CALCOCO2",2.96308519872593e-36,0.278655628079896,0.414,0.214,8.66287588699512e-32
"CD63",6.25311029569627e-36,0.447352484417706,0.269,0.112,1.82815932604976e-31
"KCNMB2-AS1",9.62042213390543e-36,-0.43315287339803,0.25,0.479,2.81262661506859e-31
"SERF2",2.19817926343001e-35,0.465560550449037,0.408,0.226,6.42659689456399e-31
"AC093730.1",2.44319933619358e-35,-0.325822710461584,0.034,0.212,7.14293757929555e-31
"ADPRHL1",2.55705155234813e-35,-0.329293480810259,0.613,0.778,7.47579591844499e-31
"RPS25",3.17031533215262e-35,0.491279568768695,0.349,0.175,9.26873390508141e-31
"AC119673.2",4.10191451903665e-35,-0.297311971892033,0.018,0.183,1.19923572878555e-30
"ATP5ME",5.55816138086791e-35,0.415098659821238,0.445,0.257,1.62498406131054e-30
"MIR1-1HG",5.68785436926486e-35,-0.399436453091795,0.37,0.592,1.66290110339828e-30
"NDUFB2",6.85960801619222e-35,0.421087641781294,0.446,0.262,2.00547499961396e-30
"RPS11",8.07134138161454e-35,0.422214808886585,0.291,0.129,2.35973736632883e-30
"PDLIM3",1.01588188323065e-34,-0.557942746285758,0.294,0.497,2.97003227381312e-30
"ZNF208",1.29253786916075e-34,-0.427349491614668,0.249,0.471,3.77886371427838e-30
"EIF1B",1.29818148424225e-34,0.373126622101207,0.631,0.458,3.79536338733064e-30
"CYCS",2.22346179301739e-34,0.392877766918726,0.454,0.262,6.50051289806565e-30
"LTBP1",3.31702878720716e-34,-0.376683684183848,0.704,0.859,9.69766536227884e-30
"ZBTB16",3.70359521322381e-34,-0.293683378359234,0.834,0.912,1.08278309653811e-29
"TRIO",5.0375627650694e-34,-0.340333471658055,0.601,0.77,1.47278184999569e-29
"S100A6",5.5750345784164e-34,0.291586372930838,0.184,0.06,1.62991710934582e-29
"DES",6.59932079578995e-34,0.486136849418758,0.872,0.808,1.92937742785715e-29
"NDUFB1",8.73660089947971e-34,0.345729321439889,0.424,0.239,2.55423263897189e-29
"IFNG-AS1",1.1118747156733e-33,-0.387752876325635,0.093,0.287,3.25067691874246e-29
"TXNIP",1.38968702978836e-33,0.332853529870976,0.917,0.824,4.06288900028926e-29
"COX6B1",1.3963300402718e-33,0.451307248722218,0.466,0.285,4.08231050573864e-29
"AIG1",1.45115626717326e-33,-0.350275506104321,0.604,0.771,4.24260046270774e-29
"NAV1",1.64658484481987e-33,-0.339933209955005,0.39,0.614,4.81395545231537e-29
"NUTM2B-AS1",3.2624872812485e-33,-0.290455355505005,0.142,0.352,9.53820781545812e-29
"TSC22D1",3.44404694538642e-33,0.455893970430172,0.567,0.391,1.00690156495317e-28
"VCL",8.3374179053822e-33,-0.280417664940201,0.717,0.841,2.43752749881754e-28
"C6",8.83666601015413e-33,-0.376917239581048,0.291,0.495,2.58348767472866e-28
"PRH1",9.35962980660174e-33,-0.294676237395247,0.312,0.542,2.73638137025809e-28
"RPS12",9.44789499396139e-33,0.426970581466838,0.342,0.174,2.76218658043455e-28
"PER3",9.88383007511528e-33,-0.261654524166596,0.101,0.299,2.8896365607607e-28
"KTN1",1.01122309663964e-32,-0.270793662839508,0.618,0.815,2.95641184533565e-28
"COX7A2",1.08054170846001e-32,0.409445984345042,0.417,0.238,3.15907173885369e-28
"HEG1",1.51030241084595e-32,-0.304811659746097,0.202,0.416,4.41552012834921e-28
"ATP5MPL",2.64765071500844e-32,0.431270766948558,0.541,0.366,7.74067163039866e-28
"CADM2",3.01670751683954e-32,-0.513552502085427,0.034,0.197,8.81964609623209e-28
"WSB1",3.15267187929686e-32,-0.292322070003701,0.315,0.539,9.2171515063123e-28
"RPL8",3.35175632453098e-32,0.456764582120884,0.355,0.186,9.79919479039877e-28
"AC138305.1",3.7475115347701e-32,-0.362718229122626,0.68,0.831,1.09562247230539e-27
"LINC00472",5.47448923295553e-32,-0.300580852212973,0.531,0.743,1.60052167214688e-27
"ATP5MF",5.52263033846284e-32,0.328193987300791,0.287,0.132,1.614596205753e-27
"RPS24",9.18522863140371e-32,0.415450957522368,0.359,0.188,2.68539344267719e-27
"IL1RAP",1.20372212444701e-31,-0.29259351158911,0.048,0.217,3.51920200303329e-27
"NTN1",1.25559198497543e-31,-0.288766582569697,0.053,0.224,3.67084872727417e-27
"CUL4A",1.8901675675042e-31,-0.282060287333426,0.232,0.446,5.52609390035527e-27
"STK39",1.97470252136175e-31,0.411455811727459,0.604,0.463,5.7732402914532e-27
"RPS20",2.78465809406746e-31,0.417768139465255,0.346,0.182,8.14122640381563e-27
"DPY19L2",4.21945641460396e-31,-0.311011908739634,0.781,0.906,1.23360027737361e-26
"CFAP61",4.52718201652711e-31,-0.34840029243337,0.447,0.648,1.32356693435187e-26
"SLC5A1",6.31718113569589e-31,-0.367758144435432,0.434,0.609,1.84689107683205e-26
"ATP5MC2",6.75122222494328e-31,0.32176688610124,0.353,0.186,1.97378732968442e-26
"MICOS10",7.32900985462057e-31,0.292985444312325,0.306,0.146,2.14270932109687e-26
"ZNF106",7.6389811154656e-31,-0.281095246064248,0.492,0.683,2.23333251891752e-26
"DANT2",1.03670507976998e-30,-0.30705685376828,0.611,0.804,3.03091097121551e-26
"MRPL33",1.78061004192166e-30,0.315337615596659,0.444,0.265,5.20579151856217e-26
"XIRP2",6.22965594766923e-30,-0.889061245133446,0.387,0.57,1.82130221286058e-25
"MACF1",6.41303852599449e-30,-0.26247046055527,0.732,0.858,1.87491594345975e-25
"PXDNL",6.77390521255289e-30,-0.422439032119093,0.807,0.916,1.98041892794196e-25
"MYLK3",7.33187679366856e-30,-0.351463661962295,0.689,0.803,2.14354749939694e-25
"RPL18A",7.9659955315419e-30,0.344830329854663,0.267,0.121,2.32893845360159e-25
"AGPAT3",8.31288582763176e-30,-0.267809267324232,0.186,0.387,2.43035530056642e-25
"TNNI3K",8.55776557739744e-30,-0.324984527687827,0.779,0.92,2.50194834420792e-25
"CD99",1.01371393988233e-29,0.313919962556019,0.441,0.258,2.96369407463999e-25
"ARL15",1.21502494520877e-29,-0.296918640098261,0.5,0.69,3.55224692981235e-25
"HIF3A",1.26793760463187e-29,0.339979552550754,0.672,0.524,3.70694238090174e-25
"AC018464.1",1.57528884515428e-29,-0.424454476963609,0.605,0.767,4.60551446769305e-25
"ALPK3",1.71306545550683e-29,-0.313834388491645,0.381,0.585,5.00831816571976e-25
"MT-ND5",2.03927976820791e-29,0.392900026608921,0.378,0.211,5.96203833033264e-25
"SLC25A3",2.63758326522704e-29,0.473021219074602,0.594,0.438,7.71123843421778e-25
"UQCRB",2.73496041195688e-29,0.46896797315793,0.658,0.508,7.99593026039712e-25
"GRK4",3.67024614643361e-29,-0.259030848153734,0.12,0.305,1.07303316337133e-24
"TBC1D1",3.77389525741715e-29,-0.302645883227622,0.385,0.588,1.10333601745848e-24
"AC021134.1",4.54512125891756e-29,-0.343286675783554,0.184,0.387,1.32881165125714e-24
"COX17",5.61268041503922e-29,0.289397482305607,0.326,0.167,1.64092324614087e-24
