p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.994447494130762,0.759,0.155,0,0,DYNC1I1
0,0.9925848650362284,0.695,0.074,0,0,AC022034.1
0,0.9924894035071645,0.794,0.119,0,0,LRRC39
0,0.9914209734264496,0.97,0.596,0,0,EXOC6B
0,0.9870587170233893,0.807,0.176,0,0,GATA4
0,0.9845452044844035,0.917,0.347,0,0,PLCL2
0,0.9842443667027414,0.763,0.115,0,0,LRRC2
0,0.9825509945410295,0.721,0.098,0,0,SCN5A
0,0.980484532916239,0.969,0.353,0,0,SVIL
0,0.9792034150602007,0.838,0.233,0,0,DANT2
0,0.973024636805895,0.614,0.069,0,0,CHST9
0,0.9693243550371429,0.537,0.061,0,0,LINC02248
0,0.9691203878800031,0.809,0.137,0,0,BCO2
0,0.9681146229694888,0.795,0.125,0,0,POPDC2
0,0.9638122690533568,0.827,0.21,0,0,AIG1
0,0.9626645073129764,0.855,0.176,0,0,TMEM71
0,0.9614407230093217,0.763,0.134,0,0,DAPK2
0,0.951044242929429,0.726,0.122,0,0,DGKG
0,0.9488998582652051,0.839,0.192,0,0,NCKAP5
0,0.9474776494850844,0.916,0.272,0,0,SLC25A4
0,0.945300180815879,0.732,0.145,0,0,AC098617.1
0,0.9417544627217824,0.885,0.232,0,0,MICAL3
0,0.9414203581437721,0.718,0.116,0,0,GRAMD1B
0,0.9394166178146028,0.504,0.06,0,0,MYH6
0,0.9392369714278681,0.74,0.11,0,0,TMEM182
0,0.9356706786073561,0.751,0.106,0,0,FBXO40
0,0.9340935348655637,0.863,0.376,0,0,XPR1
0,0.9334731609209312,0.722,0.151,0,0,LMOD2
0,0.9317609865194406,0.837,0.213,0,0,ACSS3
0,0.9309399595488594,0.93,0.309,0,0,ACTC1
0,0.9285226206402364,0.844,0.249,0,0,TMEM65
0,0.9224273923970843,0.711,0.089,0,0,JPH2
0,0.9217234992038484,0.82,0.147,0,0,PRKAA2
0,0.9197581315927967,0.775,0.141,0,0,ADAM23
0,0.9180245048639297,0.755,0.115,0,0,PRDM16
0,0.913187644548822,0.686,0.098,0,0,CFAP61
0,0.9104052281334969,0.789,0.153,0,0,ATP1B1
0,0.910129712273771,0.958,0.55,0,0,CAMK2D
0,0.904662418359576,0.686,0.119,0,0,MYOCD
0,0.9040453557459296,0.476,0.141,0,0,TTTY14
0,0.9004949866181473,0.691,0.111,0,0,GCNT2
0,0.9000780074315851,0.649,0.066,0,0,AC108058.1
0,0.8965927779854628,0.863,0.266,0,0,PPM1L
0,0.8962042731095504,0.862,0.129,0,0,MYO18B
0,0.8928555213846623,0.716,0.087,0,0,MPP3
0,0.8918807827837842,0.591,0.095,0,0,AC002460.2
0,0.8909913422859764,0.722,0.093,0,0,AC010680.1
0,0.8850282357007305,0.702,0.101,0,0,ALPK2
0,0.8848922856272717,0.657,0.077,0,0,AC040174.1
0,0.88394056651134,0.843,0.226,0,0,PPP2R3A
0,0.8768694298392125,0.675,0.102,0,0,CADPS
0,0.8767071854042906,0.683,0.13,0,0,AC079142.1
0,0.8742306545200834,0.686,0.111,0,0,VLDLR-AS1
0,0.8742176317861221,0.701,0.127,0,0,VIPR2
0,0.8734313101666176,0.868,0.291,0,0,NIBAN1
0,0.8721388420059628,0.656,0.117,0,0,EYA4
0,0.8711064304502286,0.739,0.115,0,0,SRL
0,0.8695714389963292,0.708,0.108,0,0,PEBP4
0,0.8689507492571225,0.839,0.342,0,0,PIK3R1
0,0.8683444399657341,0.821,0.207,0,0,DGLUCY
0,0.8675965958194646,0.794,0.158,0,0,HOMER1
0,0.8663935783506636,0.731,0.111,0,0,CASZ1
0,0.861350711134222,0.898,0.301,0,0,MEIS2
0,0.8593599134543584,0.716,0.123,0,0,COL4A5
0,0.8591842431166379,0.741,0.117,0,0,NDRG4
0,0.853015641013367,0.766,0.173,0,0,EXOG
0,0.8514398597046461,0.893,0.325,0,0,VCL
0,0.84933478994374,0.906,0.364,0,0,SYNPO2
0,0.8485814102032812,0.769,0.164,0,0,RETREG1
0,0.8450683957021163,0.667,0.104,0,0,AL513487.1
0,0.8449151001107937,0.659,0.159,0,0,ENOX1
0,0.8434958306417027,0.668,0.166,0,0,CACNA2D3
0,0.8392906319017616,0.718,0.176,0,0,NUDT4
0,0.8386795078725207,0.709,0.093,0,0,ASB15
0,0.8327395256580513,0.654,0.077,0,0,SMYD1
0,0.8326763250544464,0.956,0.455,0,0,FRY
0,0.8211101193315669,0.78,0.153,0,0,HSPB7
0,0.8161003485472537,0.828,0.231,0,0,CHPT1
0,0.8144184149685585,0.421,0.063,0,0,ANKRD2
0,0.8132385660928844,0.614,0.111,0,0,CTNND2
0,0.8117436093453464,0.748,0.146,0,0,USP13
0,0.811362147161828,0.695,0.101,0,0,PPP1R3A
0,0.8075504060280279,0.68,0.158,0,0,TMEM164
0,0.8058341558751196,0.718,0.157,0,0,TBX20
0,0.8052644010247983,0.889,0.344,0,0,ADGRL2
0,0.7993722610331062,0.812,0.204,0,0,ANKRD1
0,0.7932652086192994,0.811,0.24,0,0,PPP1R13B
0,0.792548702195661,0.912,0.352,0,0,SAMD4A
0,0.790735867846154,0.65,0.138,0,0,DCP1B
0,0.7882889085176894,0.803,0.153,0,0,CASQ2
