"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"UBASH3B.1",2.88348489489236e-15,-36.3793333686643,0.255,0.008,8.65045468467707e-12,"Chemo-Cardiomyocyte","UBASH3B"
"PDZRN3",3.32901494264189e-15,-10.2150371863166,0.467,0.407,9.98704482792566e-12,"Chemo-Cardiomyocyte","PDZRN3"
"TLR2",3.68299057066849e-15,-35.112737429622,0.137,0.003,1.10489717120055e-11,"Chemo-Cardiomyocyte","TLR2"
"TTC28",3.7181781785071e-15,-11.6244951331504,0.433,0.377,1.11545345355213e-11,"Chemo-Cardiomyocyte","TTC28"
"CCDC181.1",3.88187711981637e-15,-29.2868573115525,0.206,0.014,1.16456313594491e-11,"Chemo-Cardiomyocyte","CCDC181"
"HERC4.1",3.94135717677539e-15,-37.0498050858501,0.423,0.392,1.18240715303262e-11,"Chemo-Cardiomyocyte","HERC4"
"LINC00382",4.12041672553076e-15,-35.8968064522603,0.249,0.008,1.23612501765923e-11,"Chemo-Cardiomyocyte","LINC00382"
"BICD1.1",4.43113086775307e-15,-37.6230033919809,0.377,0.209,1.32933926032592e-11,"Chemo-Cardiomyocyte","BICD1"
"PKIB.1",4.9250454448954e-15,-36.7299507347553,0.205,0.017,1.47751363346862e-11,"Chemo-Cardiomyocyte","PKIB"
"DCBLD2.1",5.01060417724554e-15,-7.02039836970527,0.382,0.347,1.50318125317366e-11,"Chemo-Cardiomyocyte","DCBLD2"
"RNF216.1",5.16715645411476e-15,-32.5560068631504,0.378,0.341,1.55014693623443e-11,"Chemo-Cardiomyocyte","RNF216"
"PELI2",5.69754796319287e-15,-33.2683656921346,0.304,0.029,1.70926438895786e-11,"Chemo-Cardiomyocyte","PELI2"
"DDX60L.1",5.78594870790356e-15,-36.6890967802912,0.388,0.326,1.73578461237107e-11,"Chemo-Cardiomyocyte","DDX60L"
"PPP1R16B",5.80291893708433e-15,-34.2588974734889,0.184,0.007,1.7408756811253e-11,"Chemo-Cardiomyocyte","PPP1R16B"
"GALNT14.1",6.20134886653917e-15,-36.7401151627178,0.24,0.008,1.86040465996175e-11,"Chemo-Cardiomyocyte","GALNT14"
"ZNF318.1",6.42025388640394e-15,-12.866728771502,0.31,0.264,1.92607616592118e-11,"Chemo-Cardiomyocyte","ZNF318"
"WNT9A.1",6.92609284149237e-15,-20.2020129888462,0.227,0.07,2.07782785244771e-11,"Chemo-Cardiomyocyte","WNT9A"
"MBP.1",6.96329168245861e-15,-3.59519277229905,0.373,0.28,2.08898750473758e-11,"Chemo-Cardiomyocyte","MBP"
"NDUFB3",7.94964016529203e-15,-0.717498713185444,0.348,0.165,2.38489204958761e-11,"Chemo-Cardiomyocyte","NDUFB3"
"THRB",8.1357017654743e-15,-7.6776257195976,0.454,0.408,2.44071052964229e-11,"Chemo-Cardiomyocyte","THRB"
"GRB14",8.36128902289199e-15,-2.28938747497899,0.362,0.332,2.5083867068676e-11,"Chemo-Cardiomyocyte","GRB14"
"GAREM1",8.40434133809217e-15,-2.96133337136308,0.42,0.395,2.52130240142765e-11,"Chemo-Cardiomyocyte","GAREM1"
"NKAIN3.1",8.43747551284659e-15,-31.3108317963392,0.303,0.008,2.53124265385398e-11,"Chemo-Cardiomyocyte","NKAIN3"
"ABHD2",8.60110741360909e-15,-18.0800704373518,0.4,0.37,2.58033222408273e-11,"Chemo-Cardiomyocyte","ABHD2"
"ZNF407.1",8.76516803305911e-15,-16.636116917588,0.436,0.395,2.62955040991773e-11,"Chemo-Cardiomyocyte","ZNF407"
"TNFRSF10C.1",8.78368164250305e-15,-35.3341661322162,0.179,0.007,2.63510449275091e-11,"Chemo-Cardiomyocyte","TNFRSF10C"
"CRB1",1.0535974216043e-14,-8.39431186615955,0.289,0.041,3.16079226481291e-11,"Chemo-Cardiomyocyte","CRB1"
"PAM",1.29045817201338e-14,-28.0998860725004,0.444,0.413,3.87137451604013e-11,"Chemo-Cardiomyocyte","PAM"
"ADAMTS12.1",1.31748931186428e-14,-35.9361945121229,0.135,0.013,3.95246793559284e-11,"Chemo-Cardiomyocyte","ADAMTS12"
"PLEKHA5",1.41159126712749e-14,-6.72778331022076,0.463,0.422,4.23477380138247e-11,"Chemo-Cardiomyocyte","PLEKHA5"
"ABCA6.1",1.43336143731773e-14,-20.8517264935988,0.267,0.071,4.30008431195318e-11,"Chemo-Cardiomyocyte","ABCA6"
"MED14OS",1.4495281941886e-14,-34.703935713251,0.223,0.003,4.34858458256581e-11,"Chemo-Cardiomyocyte","MED14OS"
"CYSLTR1",1.67376385634455e-14,-36.2226393831394,0.131,0.006,5.02129156903364e-11,"Chemo-Cardiomyocyte","CYSLTR1"
"SYNPO2.1",1.70891345468945e-14,-18.8404177861655,0.442,0.405,5.12674036406836e-11,"Chemo-Cardiomyocyte","SYNPO2"
"GPR158.1",1.71917583299871e-14,-34.9300416446823,0.227,0.016,5.15752749899612e-11,"Chemo-Cardiomyocyte","GPR158"
"EPHA5",1.73169602136973e-14,-36.2394049449264,0.177,0.003,5.19508806410918e-11,"Chemo-Cardiomyocyte","EPHA5"
"IGSF11.1",1.80314687024876e-14,-36.9359396043749,0.3,0.14,5.40944061074629e-11,"Chemo-Cardiomyocyte","IGSF11"
"CDHR1",1.85190705066897e-14,-36.6085209671114,0.118,0.008,5.55572115200691e-11,"Chemo-Cardiomyocyte","CDHR1"
"IL22RA2.1",1.87875466774256e-14,-36.0579633832142,0.181,0.182,5.63626400322767e-11,"Chemo-Cardiomyocyte","IL22RA2"
"RBM47.1",1.97815695714674e-14,-28.7133418217139,0.234,0.014,5.93447087144023e-11,"Chemo-Cardiomyocyte","RBM47"
"B3GALT5.1",2.05593597934185e-14,-36.0849558745084,0.163,0.035,6.16780793802556e-11,"Chemo-Cardiomyocyte","B3GALT5"
"OBSCN",2.12703098317603e-14,-10.9923273131906,0.426,0.4,6.38109294952808e-11,"Chemo-Cardiomyocyte","OBSCN"
"PTPRM",2.25115858259718e-14,-8.83338710539842,0.496,0.416,6.75347574779154e-11,"Chemo-Cardiomyocyte","PTPRM"
"AOX1.1",2.60734100892381e-14,-29.291542639731,0.251,0.006,7.82202302677144e-11,"Chemo-Cardiomyocyte","AOX1"
"CYTIP.1",2.74551328499446e-14,-35.8113396573226,0.128,0.005,8.23653985498337e-11,"Chemo-Cardiomyocyte","CYTIP"
"SOSTDC1",2.85537453856878e-14,-38.8019035397228,0.101,0.003,8.56612361570633e-11,"Chemo-Cardiomyocyte","SOSTDC1"
"F3.1",2.99159059946689e-14,-13.444988835295,0.362,0.25,8.97477179840066e-11,"Chemo-Cardiomyocyte","F3"
"ITGB8.1",3.29271834905258e-14,-29.9526585249405,0.18,0.024,9.87815504715774e-11,"Chemo-Cardiomyocyte","ITGB8"
"CHST9",3.37242824609849e-14,-14.3965583916053,0.352,0.289,1.01172847382955e-10,"Chemo-Cardiomyocyte","CHST9"
"RTN1.1",3.37491298197107e-14,-26.0187744183583,0.202,0.016,1.01247389459132e-10,"Chemo-Cardiomyocyte","RTN1"
"USP2-AS1.1",3.52000285606354e-14,-22.6044307109389,0.254,0.03,1.05600085681906e-10,"Chemo-Cardiomyocyte","USP2-AS1"
"SHISA9.1",3.60515118053057e-14,-38.2176740663875,0.139,0.004,1.08154535415917e-10,"Chemo-Cardiomyocyte","SHISA9"
"DYNC1I1.1",3.7348546998403e-14,-15.9352756050566,0.415,0.38,1.12045640995209e-10,"Chemo-Cardiomyocyte","DYNC1I1"
"RGS6",3.89705267837141e-14,-22.4622059902761,0.436,0.396,1.16911580351142e-10,"Chemo-Cardiomyocyte","RGS6"
"HMOX1.1",4.07987280286135e-14,-36.2409118784923,0.211,0.007,1.22396184085841e-10,"Chemo-Cardiomyocyte","HMOX1"
"TACC2.1",4.28651530617828e-14,-3.43817895348778,0.446,0.409,1.28595459185348e-10,"Chemo-Cardiomyocyte","TACC2"
"NEXN-AS1.1",4.40798689853838e-14,-33.2212316744757,0.332,0.1,1.32239606956151e-10,"Chemo-Cardiomyocyte","NEXN-AS1"
"ST3GAL6",4.55901434932105e-14,-10.6862786182414,0.396,0.379,1.36770430479631e-10,"Chemo-Cardiomyocyte","ST3GAL6"
"GARNL3",4.90997573256761e-14,-7.9526353213184,0.43,0.384,1.47299271977028e-10,"Chemo-Cardiomyocyte","GARNL3"
"EFNA5",4.91392806161577e-14,-6.76102332046069,0.451,0.397,1.47417841848473e-10,"Chemo-Cardiomyocyte","EFNA5"
"CLIC5",5.28422330821526e-14,-10.9084874777476,0.439,0.402,1.58526699246458e-10,"Chemo-Cardiomyocyte","CLIC5"
"KCNG2",5.30870348022117e-14,-34.3525244337379,0.108,0.003,1.59261104406635e-10,"Chemo-Cardiomyocyte","KCNG2"
"NPSR1.1",5.43721345134413e-14,-36.759541326892,0.258,0.008,1.63116403540324e-10,"Chemo-Cardiomyocyte","NPSR1"
"ELF1",5.89187161075312e-14,-12.4563627473498,0.418,0.385,1.76756148322594e-10,"Chemo-Cardiomyocyte","ELF1"
"MPP3",5.99021057359196e-14,-2.15256540902606,0.411,0.39,1.79706317207759e-10,"Chemo-Cardiomyocyte","MPP3"
"MAPK4",6.00615142903134e-14,-35.1300877793822,0.371,0.315,1.8018454287094e-10,"Chemo-Cardiomyocyte","MAPK4"
"PLK2.1",6.65987436930861e-14,-3.06127256580219,0.279,0.159,1.99796231079258e-10,"Chemo-Cardiomyocyte","PLK2"
"CAMK2D",6.68201397743468e-14,-3.82019466215479,0.474,0.429,2.0046041932304e-10,"Chemo-Cardiomyocyte","CAMK2D"
"MLLT3.1",7.10813589511809e-14,-30.1906229730314,0.387,0.288,2.13244076853543e-10,"Chemo-Cardiomyocyte","MLLT3"
"ABHD18.1",7.57119785564961e-14,-5.79761283982385,0.406,0.382,2.27135935669488e-10,"Chemo-Cardiomyocyte","ABHD18"
"CREB3L1.1",7.85028118196643e-14,-36.5315896576469,0.215,0.053,2.35508435458993e-10,"Chemo-Cardiomyocyte","CREB3L1"
"ANKS1B",8.23411844591414e-14,-34.0579927712719,0.164,0.015,2.47023553377424e-10,"Chemo-Cardiomyocyte","ANKS1B"
"TEX9.1",8.29610583349937e-14,-36.1566518998078,0.234,0.01,2.48883175004981e-10,"Chemo-Cardiomyocyte","TEX9"
"RGS7BP.1",8.4336894254321e-14,-32.7571542418063,0.227,0.033,2.53010682762963e-10,"Chemo-Cardiomyocyte","RGS7BP"
"LINC01456.1",8.62734527782841e-14,-37.8473300147308,0.234,0.007,2.58820358334852e-10,"Chemo-Cardiomyocyte","LINC01456"
"PAPSS2.1",8.85781621958869e-14,-37.3618263136992,0.228,0.013,2.65734486587661e-10,"Chemo-Cardiomyocyte","PAPSS2"
"CSMD2.1",9.15604596665648e-14,-35.5340622122272,0.304,0.008,2.74681378999694e-10,"Chemo-Cardiomyocyte","CSMD2"
"POT1-AS1",9.44917720935334e-14,-8.34737176347701,0.337,0.191,2.834753162806e-10,"Chemo-Cardiomyocyte","POT1-AS1"
"RPS11.1",1.08612151682e-13,2.04672875160647,0.37,0.076,3.25836455046001e-10,"Chemo-Cardiomyocyte","RPS11"
"PCSK6.1",1.15452811427262e-13,-16.5876545517547,0.354,0.241,3.46358434281787e-10,"Chemo-Cardiomyocyte","PCSK6"
"MAGI2.1",1.19807480333569e-13,-5.86245013451726,0.438,0.387,3.59422441000707e-10,"Chemo-Cardiomyocyte","MAGI2"
"CPE.1",1.2754858656193e-13,-34.206457045293,0.224,0.018,3.82645759685789e-10,"Chemo-Cardiomyocyte","CPE"
"MTUS2",1.35182548683989e-13,-21.5265677289634,0.448,0.41,4.05547646051967e-10,"Chemo-Cardiomyocyte","MTUS2"
"MYOM2.1",1.37111701995048e-13,-18.3658050561614,0.479,0.414,4.11335105985144e-10,"Chemo-Cardiomyocyte","MYOM2"
"IGSF21",1.37437201654093e-13,-34.887054653837,0.113,0.003,4.12311604962279e-10,"Chemo-Cardiomyocyte","IGSF21"
"AMIGO2.1",1.38814876664823e-13,-36.344808596967,0.1,0.004,4.1644462999447e-10,"Chemo-Cardiomyocyte","AMIGO2"
"SLMAP.1",1.41982478467878e-13,-0.501458899858291,0.427,0.402,4.25947435403635e-10,"Chemo-Cardiomyocyte","SLMAP"
"ENOX2",1.4418722215902e-13,-12.2699715043447,0.36,0.253,4.32561666477059e-10,"Chemo-Cardiomyocyte","ENOX2"
"NCF4.1",1.46558169031584e-13,-34.9509290247452,0.195,0.006,4.39674507094752e-10,"Chemo-Cardiomyocyte","NCF4"
"ACTB.1",1.48578224439537e-13,-36.1324342813866,0.343,0.362,4.4573467331861e-10,"Chemo-Cardiomyocyte","ACTB"
"BTC.1",1.89773044057053e-13,-34.0312659764309,0.219,0.007,5.6931913217116e-10,"Chemo-Cardiomyocyte","BTC"
"DCLK2.1",1.9619334411785e-13,-7.10244976781474,0.411,0.297,5.88580032353549e-10,"Chemo-Cardiomyocyte","DCLK2"
