"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GRAMD1B",4.82156181749631e-25,-0.370752219734265,0.474,0.609,1.40963181296322e-20
"FKBP5",5.2109714535389e-25,-0.500328689007147,0.499,0.606,1.52347961415663e-20
"TANC1",1.00232018631191e-24,-0.400494414125796,0.705,0.747,2.93038329670149e-20
"AGBL4",1.62699643121675e-24,0.32586708511854,0.557,0.384,4.7566867663053e-20
"SPTBN1",2.69885101844644e-24,-0.284564633878688,0.699,0.793,7.89036083753e-20
"HSPB7",3.23095217832834e-24,-0.286233245516619,0.621,0.735,9.44601178856075e-20
"AC009264.1",8.34899742467258e-24,0.257282560321029,0.774,0.583,2.44091288707728e-19
"CTNND2",5.79827330203116e-23,0.261867194011374,0.762,0.579,1.69518318258183e-18
"AC011346.1",7.27649133212083e-23,0.254148776724635,0.594,0.418,2.12735500585885e-18
"NEK10",8.21174603867729e-23,0.275247237669059,0.796,0.632,2.40078607186769e-18
"GABRB1",1.39820889194949e-21,0.262672216253821,0.601,0.425,4.08780351650352e-17
"NAV3",2.06145378411393e-21,0.252445868477174,0.754,0.576,6.02686628323548e-17
"LINC02208",8.63663509969526e-20,0.29544182844107,0.891,0.748,2.52500663774691e-15
"JPH2",1.28112061355343e-19,-0.303405233395713,0.511,0.615,3.7454842257848e-15
"TPM1",1.75322379356533e-19,-0.284587085432522,0.985,0.981,5.1257250828676e-15
"MIR1-1HG",2.11753912690335e-19,-0.358317642536198,0.475,0.585,6.19083739141465e-15
"SLC5A1",3.05600988716316e-19,-0.305662532015341,0.506,0.606,8.93455050611021e-15
"KLHL31",5.24904488877444e-19,-0.257925562201021,0.574,0.67,1.5346107636821e-14
"FHL2",1.29134622807828e-18,-0.397408350697028,0.982,0.941,3.77537983240967e-14
"MSRB3",2.08821949318035e-16,-0.352494544027776,0.606,0.666,6.10511851026208e-12
"FGF12",2.11353902555958e-16,-0.328576060958282,0.983,0.955,6.17914269512599e-12
"VCL",2.4828038598331e-16,-0.331113086161634,0.839,0.818,7.25872536460806e-12
"COX6A2",2.16611573649865e-15,-0.305515840077618,0.516,0.619,6.33285596722744e-11
"DPF3",2.75432157149884e-15,-0.256970422829159,0.81,0.8,8.05253454643401e-11
