p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.5866116329365792e-118,-0.3654956288177382,0.184,0.356,4.638617770053383e-114,Chemo,NDUFA1
1.6176186258966889e-118,-0.26055450917588585,0.135,0.295,4.7292698146715596e-114,Chemo,TMA7
6.390944838715185e-117,-0.4355601201376341,0.367,0.56,1.8684566330467715e-112,Chemo,RPS23
3.5256941689099406e-116,-0.40008515563999203,0.354,0.546,1.0307719472225103e-111,Chemo,RPL21
3.7491885965941165e-116,-0.4887629384763945,0.522,0.706,1.0961127781002559e-111,Chemo,RPLP1
1.0188068995820941e-115,-0.35358440935994073,0.321,0.52,2.9785838516182103e-111,Chemo,RPS20
1.6253453462491844e-114,-0.3564306385521093,0.294,0.496,4.7518596542941153e-110,Chemo,RPS6KA2
4.062104133663257e-114,-0.2894933857778069,0.167,0.333,1.1875967645177897e-109,Chemo,NDUFB4
8.013596254799742e-114,-0.3880872849574427,0.109,0.253,2.3428550010532527e-109,Chemo,DAAM2
4.1165481117677235e-113,-0.4000955706705591,0.319,0.508,1.2035140059564117e-108,Chemo,RPL28
6.670359167690015e-113,-0.37231935217543244,0.309,0.505,1.9501462062658527e-108,Chemo,RPL32
7.421835930387699e-113,0.47147075217011425,0.481,0.298,2.1698479526081477e-108,Chemo,STAT3
6.814798003171219e-112,-0.3085369378511533,0.233,0.417,1.9923743442071376e-107,Chemo,LAPTM4A
1.959826030385181e-111,-0.2611283574059402,0.076,0.202,5.729747382434115e-107,Chemo,RFTN2
2.022221130368473e-111,-0.34359771836952985,0.191,0.359,5.912165696745268e-107,Chemo,LINC00513
7.530874078029968e-111,-0.5559537694576493,0.41,0.583,2.2017263454528416e-106,Chemo,IFITM3
1.2412785690961939e-110,-0.4956604596875298,0.469,0.648,3.6290020246096323e-106,Chemo,EEF1A1
2.289680739386976e-110,-0.3395339233146671,0.142,0.295,6.694110609671762e-106,Chemo,CYBRD1
6.024306517644898e-110,-0.33194451507213674,0.314,0.512,1.7612662534986623e-105,Chemo,MT-ND5
8.332602660174644e-109,-0.3316248943939436,0.124,0.272,2.436119713728659e-104,Chemo,EDNRB
1.1003488570030444e-108,-0.2877162551207373,0.169,0.334,3.2169799183341004e-104,Chemo,RPL36A
1.5567176223180602e-108,-0.3356642854918761,0.223,0.399,4.5512196406090806e-104,Chemo,RPL12
2.264935912452537e-108,-0.28504728631577636,0.052,0.16,6.621766633646237e-104,Chemo,HTRA3
3.585193340625337e-108,-0.37314738996966657,0.333,0.52,1.0481671250652236e-103,Chemo,RPL9
1.7143232732887973e-107,-0.4438601477029043,0.385,0.581,5.011995521787127e-103,Chemo,MYL12A
3.4803242588968767e-107,-0.3370865533896499,0.288,0.476,1.0175076003310908e-102,Chemo,DPYSL2
1.8112027023348206e-106,-0.36033936241301723,0.289,0.477,5.295232220546082e-102,Chemo,RPL18A
2.1804779482586136e-106,-0.29006635222289234,0.273,0.462,6.3748453295288826e-102,Chemo,CD99
2.531986299427669e-106,-0.375031936146079,0.365,0.557,7.402515145006732e-102,Chemo,FTL
4.583489224619433e-106,-0.366114151724901,0.213,0.38,1.3400289097097374e-101,Chemo,COX7B
4.689985184224155e-106,-0.5341165004731868,0.335,0.512,1.371164068459774e-101,Chemo,ZFHX3
5.830919209273256e-106,-0.29136404039373365,0.184,0.35,1.704727540023129e-101,Chemo,RPS5
3.4551173941626236e-104,-0.35009299658475623,0.312,0.501,1.0101381213573845e-99,Chemo,RPL17
3.5450566429353255e-104,-0.35064408149764004,0.311,0.499,1.0364327601285717e-99,Chemo,FAU
8.614568577478842e-104,-0.48034519566983447,0.196,0.36,2.518555269311714e-99,Chemo,SGIP1
3.3110864141841126e-103,-0.3108716292929002,0.252,0.433,9.680292240508671e-99,Chemo,RPL29
2.7362955704438385e-102,-0.31251298988938003,0.056,0.164,7.999833729749606e-98,Chemo,THSD7A
1.5012787599758665e-101,-0.3999051020712333,0.178,0.333,4.3891385826654434e-97,Chemo,S100A10
2.1415722863953126e-101,-0.30994269118721973,0.137,0.282,6.261100736505336e-97,Chemo,DERA
2.6226345674242544e-101,-0.3498529073674891,0.171,0.326,7.66753442132155e-97,Chemo,TSC22D3
3.145783865255899e-101,-0.2565597646703779,0.28,0.46,9.197013708462145e-97,Chemo,LINC00486
8.517180414245706e-100,-0.8467130657609481,0.264,0.426,2.4900828659088746e-95,Chemo,ACTA1
