"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LINC01362.1",2.27093168090096e-61,-12.3042513493479,0.289,0.008,6.81279504270288e-58,"Chemo-Macrophage","LINC01362"
"ZNF367.1",3.6127587050362e-61,-20.5365965577833,0.214,0.031,1.08382761151086e-57,"Chemo-Macrophage","ZNF367"
"CXCL1.1",4.0750197889302e-61,-31.7008733328705,0.309,0.007,1.22250593667906e-57,"Chemo-Macrophage","CXCL1"
"POLR3G.1",5.7511746420177e-61,-26.3866701411041,0.402,0.01,1.72535239260531e-57,"Chemo-Macrophage","POLR3G"
"TSPAN5.1",6.43720242826181e-61,-9.31549367703618,0.183,0.078,1.93116072847854e-57,"Chemo-Macrophage","TSPAN5"
"CDK11B.1",9.65297366725591e-61,-25.1829864025127,0.265,0.1,2.89589210017677e-57,"Chemo-Macrophage","CDK11B"
"IFIT2",1.08185912750074e-60,-29.0739943395193,0.117,0.012,3.24557738250222e-57,"Chemo-Macrophage","IFIT2"
"INPP4B",1.49382297339849e-60,-24.9978938020139,0.28,0.125,4.48146892019548e-57,"Chemo-Macrophage","INPP4B"
"HMCN1.1",1.50608851488274e-60,-27.1460329560577,0.22,0.027,4.51826554464821e-57,"Chemo-Macrophage","HMCN1"
"SETBP1.1",1.55618852851718e-60,-13.3817415119879,0.226,0.07,4.66856558555153e-57,"Chemo-Macrophage","SETBP1"
"STXBP5L.1",1.55764138359979e-60,-27.6875947368886,0.282,0.012,4.67292415079938e-57,"Chemo-Macrophage","STXBP5L"
"FAM155A",1.7138660467163e-60,-25.7248063046132,0.342,0.013,5.14159814014891e-57,"Chemo-Macrophage","FAM155A"
"PPARD",1.96089506531537e-60,-6.59174364162586,0.408,0.263,5.88268519594612e-57,"Chemo-Macrophage","PPARD"
"ATF5.1",3.22851868686281e-60,-19.6297528963873,0.318,0.044,9.68555606058842e-57,"Chemo-Macrophage","ATF5"
"KCNN4.1",3.49035276054251e-60,-20.8654337259115,0.241,0.027,1.04710582816275e-56,"Chemo-Macrophage","KCNN4"
"TACC2",3.61690916930548e-60,-8.8172532028105,0.218,0.027,1.08507275079164e-56,"Chemo-Macrophage","TACC2"
"BACH2.1",5.07417517430779e-60,-21.489894223182,0.187,0.061,1.52225255229234e-56,"Chemo-Macrophage","BACH2"
"ABCA6.1",6.20708825088703e-60,-18.9530541265561,0.241,0.28,1.86212647526611e-56,"Chemo-Macrophage","ABCA6"
"ADAM32.1",6.33087636271023e-60,-21.4036011101158,0.357,0.023,1.89926290881307e-56,"Chemo-Macrophage","ADAM32"
"PTGER3.1",7.09603847405419e-60,-28.8724549867685,0.219,0.018,2.12881154221626e-56,"Chemo-Macrophage","PTGER3"
"AADACL2-AS1",7.25495696655874e-60,-16.0831532516708,0.119,0.044,2.17648708996762e-56,"Chemo-Macrophage","AADACL2-AS1"
"PCSK6.1",1.34696503581675e-59,-29.2530753174712,0.207,0.018,4.04089510745024e-56,"Chemo-Macrophage","PCSK6"
"BRIP1.1",1.47515512517715e-59,-26.2050121595895,0.143,0.026,4.42546537553144e-56,"Chemo-Macrophage","BRIP1"
"PARD3B.1",2.07231628734289e-59,-10.3213149895473,0.294,0.062,6.21694886202868e-56,"Chemo-Macrophage","PARD3B"
"LINC00470.1",2.7740654329952e-59,-30.6472633279245,0.344,0.009,8.3221962989856e-56,"Chemo-Macrophage","LINC00470"
"VIT.1",3.46133577072792e-59,-27.2624285195516,0.342,0.012,1.03840073121838e-55,"Chemo-Macrophage","VIT"
"NHS",3.68436808918999e-59,-18.7963842731115,0.214,0.098,1.105310426757e-55,"Chemo-Macrophage","NHS"
"LHFPL2",3.85977121722093e-59,-1.29992730467136,0.228,0.239,1.15793136516628e-55,"Chemo-Macrophage","LHFPL2"
"ADAMTS5.1",5.04730288256616e-59,-28.5993596652137,0.317,0.014,1.51419086476985e-55,"Chemo-Macrophage","ADAMTS5"
"CCL2",5.11677943134722e-59,-28.4913975573751,0.296,0.07,1.53503382940417e-55,"Chemo-Macrophage","CCL2"
"ZFP36",5.37759098665968e-59,-11.1328131981063,0.426,0.335,1.6132772959979e-55,"Chemo-Macrophage","ZFP36"
"CTLA4",1.84348267327367e-58,-27.3537207104362,0.16,0.01,5.53044801982101e-55,"Chemo-Macrophage","CTLA4"
"LRFN4.1",2.28229086066516e-58,-15.3578644016818,0.241,0.019,6.84687258199547e-55,"Chemo-Macrophage","LRFN4"
"PLPP1.1",3.30152183917105e-58,-20.9806273780482,0.238,0.045,9.90456551751316e-55,"Chemo-Macrophage","PLPP1"
"CES4A",4.73559406437534e-58,-6.63972713498966,0.245,0.026,1.4206782193126e-54,"Chemo-Macrophage","CES4A"
"NEK10.1",4.78149815899518e-58,-14.2887463166608,0.214,0.044,1.43444944769855e-54,"Chemo-Macrophage","NEK10"
"KPTN.1",5.82705840252378e-58,-19.198000416712,0.296,0.012,1.74811752075713e-54,"Chemo-Macrophage","KPTN"
"IL1RL2",6.7643942883823e-58,-26.7663509514446,0.292,0.011,2.02931828651469e-54,"Chemo-Macrophage","IL1RL2"
"GPAT3",9.2556174812041e-58,-27.1139579550823,0.195,0.065,2.77668524436123e-54,"Chemo-Macrophage","GPAT3"
"FOLR1",1.035017598968e-57,-30.0414291113483,0.111,0.002,3.10505279690399e-54,"Chemo-Macrophage","FOLR1"
"RBL1.1",1.05071606299355e-57,-12.3938332291765,0.183,0.088,3.15214818898066e-54,"Chemo-Macrophage","RBL1"
"ADAMTS2.1",2.04144563804682e-57,-10.3745381639743,0.117,0.148,6.12433691414045e-54,"Chemo-Macrophage","ADAMTS2"
"MYOM3",2.06487199886641e-57,-8.23513963640787,0.187,0.016,6.19461599659922e-54,"Chemo-Macrophage","MYOM3"
"TRIM72.1",2.07340461604698e-57,-30.7704461718554,0.117,0.003,6.22021384814095e-54,"Chemo-Macrophage","TRIM72"
"FCAR",3.55305841633711e-57,-26.4270846741267,0.223,0.017,1.06591752490113e-53,"Chemo-Macrophage","FCAR"
"SMIM20.1",3.7099582131126e-57,-26.6850857258078,0.283,0.043,1.11298746393378e-53,"Chemo-Macrophage","SMIM20"
"SEMA4F",4.76313808353766e-57,-29.9089030710086,0.374,0.004,1.4289414250613e-53,"Chemo-Macrophage","SEMA4F"
"NPY1R",5.25996580765771e-57,-31.3508075013923,0.127,0.003,1.57798974229731e-53,"Chemo-Macrophage","NPY1R"
"ANKRD1.1",5.48038753139522e-57,-25.0871926064305,0.234,0.211,1.64411625941857e-53,"Chemo-Macrophage","ANKRD1"
"WDR49.1",6.3695394839985e-57,-15.4020509139331,0.12,0.164,1.91086184519955e-53,"Chemo-Macrophage","WDR49"
"TRAF3IP3.1",6.91725236196206e-57,-9.07333783047018,0.214,0.051,2.07517570858862e-53,"Chemo-Macrophage","TRAF3IP3"
"AC083949.1.1",9.40757227528859e-57,-28.7760289052165,0.421,0.006,2.82227168258658e-53,"Chemo-Macrophage","AC083949.1"
"DUSP1.1",1.05467861149378e-56,-7.77436335519505,0.344,0.196,3.16403583448135e-53,"Chemo-Macrophage","DUSP1"
"HIBADH.1",1.0816529998782e-56,-1.95356708266475,0.242,0.191,3.24495899963461e-53,"Chemo-Macrophage","HIBADH"
"SORT1",1.27666533596031e-56,-27.1314834149923,0.244,0.095,3.82999600788094e-53,"Chemo-Macrophage","SORT1"
"C8orf37-AS1",2.38971785312251e-56,-13.3811273572803,0.24,0.085,7.16915355936752e-53,"Chemo-Macrophage","C8orf37-AS1"
"C7orf25",5.94235185872995e-56,-28.5429411627134,0.114,0.003,1.78270555761899e-52,"Chemo-Macrophage","C7orf25"
"HBEGF.1",8.63052700971612e-56,-20.8719004598881,0.318,0.095,2.58915810291484e-52,"Chemo-Macrophage","HBEGF"
"LINC00571.1",9.33779626309642e-56,-25.8892640742063,0.224,0.017,2.80133887892893e-52,"Chemo-Macrophage","LINC00571"
"MAMLD1",1.18620133246082e-55,-27.7571404695298,0.26,0.017,3.55860399738245e-52,"Chemo-Macrophage","MAMLD1"
