"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"BMP5",0.00177695940638169,0.446300596193668,0.542,0.308,1
"MAP3K8",0.0017978067741961,-0.342426931470768,0.034,0.21,1
"ESYT2",0.00180424738677808,-0.648771131139675,0.322,0.533,1
"MIRLET7BHG",0.00188431567480721,0.450853457701452,0.525,0.313,1
"GUCY1B1",0.00196299614526244,0.55948467318786,0.508,0.323,1
"TSTD3",0.00198524952020921,0.281339369085549,0.288,0.123,1
"RASSF4",0.00199922673026633,0.34745179782131,0.288,0.128,1
"CD44",0.00212974680012282,-0.458758876708162,0,0.144,1
"COX6C",0.00215197980966781,0.370403796188022,0.356,0.169,1
"IMPA2",0.00215664476350304,0.395905498459345,0.203,0.072,1
"MSC-AS1",0.00216331734650727,0.400039668146815,0.763,0.554,1
"CDK14",0.00218557313626699,-0.585167998199018,0.153,0.349,1
"ADCY3",0.00225427499371676,-0.574654145432353,0.407,0.579,1
"GPRIN3",0.00231085715365734,0.527304267438711,0.441,0.256,1
"ADGRB3",0.00235776063229857,0.691844007700752,0.746,0.636,1
"LASP1",0.00243467174283835,0.250006818681524,0.237,0.092,1
"VMP1",0.00245708966944504,-0.522367211182947,0.186,0.41,1
"TGFBI",0.00245870585825625,-0.429640882003524,0.051,0.221,1
"EEF1A1",0.00249107744054399,0.501294707800946,0.78,0.564,1
"SLC35F1",0.00261637320511057,0.420681077497669,0.119,0.026,1
"PIP5K1B",0.00262836231668128,0.523053403218119,0.729,0.533,1
"PTPN12",0.00267582512748873,0.467778961350817,0.441,0.256,1
"PDE5A",0.00272394403981897,-0.476946596781881,0.22,0.441,1
"TTTY10",0.00273630600680932,0.290284440241995,0.119,0.026,1
"NTRK3",0.00274402096943257,0.657287979102183,0.644,0.518,1
"RIPOR3",0.0027510749879562,0.391618611895207,0.542,0.349,1
"AL109824.1",0.00276086395320751,0.27912782033203,0.186,0.062,1
"RBPMS",0.00282493663058493,-0.505318341058553,0.644,0.81,1
"MT-ND2",0.00283277433811009,0.492324554296393,0.712,0.569,1
"C1QTNF1",0.00284511676134106,-0.42978408464803,0.186,0.379,1
"RGS7BP",0.00286984723367543,0.544981242152872,0.237,0.097,1
"ARID5B",0.00290896218715271,-0.65553947106426,0.339,0.518,1
"RPS29",0.00296004107008923,0.437589153663506,0.407,0.221,1
"FANCC",0.003174718156518,0.268173129132767,0.356,0.174,1
"ZHX3",0.00318256513119512,0.348419335273501,0.39,0.21,1
"NDUFA4L2",0.00328591178919926,0.276806508421908,0.542,0.303,1
"YBX3",0.0033250694812452,-0.401576508258404,0.203,0.421,1
"CRISPLD2",0.00345282397805835,-0.986328739339783,0.339,0.508,1
"RASA1",0.00347772723520093,0.512075863843907,0.559,0.369,1
"LDLRAD4",0.00353140736714532,-0.500872436027362,0.102,0.277,1
"LINC00472",0.00354251759257021,0.431680778802917,0.475,0.277,1
"RNASEK",0.00359036461066972,0.284114673001788,0.39,0.2,1
"LINC00513",0.00362983751301491,0.546350023129257,0.39,0.221,1
"PDE4D",0.00372249563757835,-0.597240830499593,0.068,0.236,1
"FAM168A",0.00382764733679604,0.382295066940692,0.458,0.256,1
"ATP5ME",0.00384940370353534,0.272812996928554,0.339,0.169,1
"COL6A2",0.00393113563907429,-0.415973142549348,0.237,0.441,1
"SETBP1",0.00395804104363289,0.655424601950656,0.576,0.421,1
"EPAS1",0.00396211828040419,-0.428663512519027,0.322,0.564,1
"ANAPC16",0.00398272511983727,0.322588820816424,0.39,0.21,1
"AL136366.1",0.00407435367008871,0.333262322330876,0.136,0.036,1
"CSNK1A1",0.00409226171414999,-0.479289585588995,0.356,0.569,1
"PLEKHO1",0.00410043092035052,-0.304577330117425,0.034,0.185,1
"YWHAZ",0.00411440034200998,0.393908251918141,0.593,0.385,1
"FRYL",0.0041956190387653,0.445711314684954,0.576,0.4,1
"PNPLA8",0.00421258258048159,0.274884346948249,0.271,0.123,1
"RPS27",0.00421402671337096,0.518236386920343,0.475,0.308,1
"NGF-AS1",0.00423263202420238,0.489059015894627,0.22,0.092,1
"ATP5PD",0.00441895462278751,0.296352942495468,0.237,0.097,1
"ARHGAP15",0.00446498642919477,-0.529069327858014,0.068,0.231,1
"COX7B",0.00454943815877005,0.338106211158154,0.356,0.185,1
"RBM20",0.0046012726599344,-0.390789953032166,0.051,0.21,1
"ARID1B",0.0046091569732835,0.481416113375406,0.797,0.687,1
"CNTN4",0.00463395717553538,-0.648771131139675,0.017,0.159,1
"PALM2-AKAP2",0.00464160242509729,-0.566724403976529,0.22,0.405,1
"EFHD1",0.00476507110099094,0.296694110005013,0.424,0.236,1
"FOS",0.00479043044615524,-0.27531273561223,0,0.123,1
"USP10",0.00501786967575232,-0.263997422384396,0.051,0.21,1
"MFGE8",0.00508454364345994,0.474036583009808,0.678,0.564,1
